ensg,gene,n_reg,coef_beta,se_beta,p_beta,signed_log10p,fdr
ENSG00000162909,CAPN2,10840,0.026688925140111477,0.009552159975059088,0.005214868876021309,2.282756607110187,0.3481097590107993
ENSG00000168918,INPP5D,10840,0.026687171873249878,0.009552353285896624,0.005218739002851041,2.282434422335176,0.3481097590107993
ENSG00000125772,GPCPD1,10840,0.0266699179342862,0.009554710345215921,0.005259111841730369,2.279087593261487,0.3481097590107993
ENSG00000138107,ACTR1A,10840,0.026666962486325774,0.00955627118911952,0.0052715498969255715,2.278061678388731,0.3481097590107993
ENSG00000101464,PIGU,10840,0.02659337037035897,0.00955675428138083,0.005400556814834396,2.2675614607060504,0.3481097590107993
ENSG00000113088,GZMK,10840,0.026565308798294274,0.009552174297945564,0.005427285548473236,2.2654173280678744,0.3481097590107993
ENSG00000159433,STARD9,10840,0.026523951742052358,0.009552672158568835,0.005502500451880697,2.2594399131091376,0.3481097590107993
ENSG00000154889,MPPE1,10840,0.026514939061161633,0.009552939566147715,0.005519798026232826,2.2580768131580027,0.3481097590107993
ENSG00000185862,EVI2B,10840,0.02644569404449737,0.009552557592460329,0.005642083101878108,2.248560521438131,0.3481097590107993
ENSG00000213066,CEP43,10840,0.026414081577789485,0.009552088284419823,0.005697231298500655,2.2443361485223634,0.3481097590107993
ENSG00000163820,FYCO1,10840,0.026407700314721973,0.009552505614570467,0.00571101473859404,2.2432867190364534,0.3481097590107993
ENSG00000188921,HACD4,10840,0.02637312395905102,0.009553639627923273,0.005780440384920055,2.238039073438463,0.3481097590107993
ENSG00000140678,ITGAX,10840,0.02633216438973639,0.009559774526014862,0.005888435936569322,2.230000045505097,0.3481097590107993
ENSG00000162654,GBP4,10840,0.026291848168897982,0.009552073763096507,0.00592449932256432,2.22734834584701,0.3481097590107993
ENSG00000165406,MARCHF8,10840,0.026241012356700486,0.00955204026175981,0.006021255676483705,2.2203129312501666,0.3481097590107993
ENSG00000173914,RBM4B,10840,0.02623090774945897,0.009552236292112269,0.00604172900619705,2.2188387583332867,0.3481097590107993
ENSG00000116489,CAPZA1,10840,0.026191255566802824,0.009551829328855545,0.0061163838309336,2.213505268448422,0.3481097590107993
ENSG00000239713,APOBEC3G,10840,0.026179250165238064,0.00955799338782648,0.006172895018892213,2.2095111089236252,0.3481097590107993
ENSG00000152495,CAMK4,10840,0.02615124083237636,0.009551997174366248,0.006195690128280128,2.207910311207105,0.3481097590107993
ENSG00000064687,ABCA7,10840,0.026105180786739176,0.009553608114811367,0.006295861128087216,2.2009448600598196,0.35169238584301893
ENSG00000124193,SRSF6,10840,0.02601901769362599,0.009553302822368865,0.006468543255489673,2.189193513355334,0.3536577220523674
ENSG00000154153,RETREG1,10840,0.02600083347656052,0.009558433990189774,0.00653468688572091,2.1847752171211483,0.3536577220523674
ENSG00000197646,PDCD1LG2,10840,0.025925952182619966,0.009553455967328714,0.006662604630513168,2.1763559576880422,0.35494767259552534
ENSG00000108984,MAP2K6,10840,0.025898408543515817,0.009552705799684178,0.006716462150945527,2.1728594282725227,0.3555204108556983
ENSG00000114346,ECT2,10841,0.025867383923806702,0.00955177134628538,0.006777086221330175,2.1689569890228464,0.3555204108556983
ENSG00000119242,CCDC92,10840,0.025837409944346797,0.009552545941112663,0.006845913433627083,2.1645685968043016,0.3558467561553824
ENSG00000112679,DUSP22,10840,0.025833026804518294,0.009553210136058274,0.006859246024595072,2.163723619767573,0.3558467561553824
ENSG00000179163,FUCA1,10840,0.02582452056326718,0.009554832409930618,0.006887133288749378,2.16196151190241,0.3558467561553824
ENSG00000169499,PLEKHA2,10840,0.02571527711999639,0.009552581150483873,0.007114010541988995,2.1478854955848385,0.36225870009833055
ENSG00000099917,MED15,10840,0.025712497143963123,0.009552034078954491,0.007116928362172999,2.1477074056876937,0.36225870009833055
ENSG00000149600,COMMD7,10840,0.025644696038894237,0.00955258655481868,0.007273115964870464,2.1382794878442355,0.3624963711659854
ENSG00000138496,PARP9,10840,0.02564119280892529,0.009552396615240015,0.007279932351830958,2.1378726563137525,0.3624963711659854
ENSG00000261371,PECAM1,10841,0.025571365182500545,0.009551690049872181,0.007436184754613207,2.1286498285676694,0.3624963711659854
ENSG00000156136,DCK,10840,0.025569435420937474,0.009552321671567929,0.007444597337281418,2.12815878735787,0.3624963711659854
ENSG00000137628,DDX60,10840,0.025569884787223243,0.009558748455770972,0.007483604053880027,2.125889198425362,0.3624963711659854
ENSG00000072958,AP1M1,10840,0.02549793161347654,0.009553531905695935,0.007620134147138536,2.1180373831421293,0.3644196246552485
ENSG00000066027,PPP2R5A,10840,0.025475510246719218,0.009552137041190846,0.0076646309766261215,2.115508749964594,0.36485062824847125
ENSG00000182179,UBA7,10840,0.025444026706225736,0.009552343225148136,0.007741400694654054,2.111180452892953,0.36512422909372927
ENSG00000163492,CCDC141,10840,0.025425087304795237,0.009552145262347251,0.007785838354813427,2.1086946171014547,0.3655433331698249
ENSG00000145214,DGKQ,10840,0.02541170707775144,0.009552723651249914,0.007822012496533803,2.106681494549659,0.3655724204061844
ENSG00000185811,IKZF1,10840,0.025380361985631893,0.00955311817450051,0.007901071534067617,2.1023140062063392,0.365987919615753
ENSG00000110324,IL10RA,10840,0.0253769139138362,0.00955214492394962,0.0079031861279234,2.1021977898717092,0.365987919615753
ENSG00000117280,RAB29,10840,0.02536394623353619,0.00955254930966826,0.007937687811156674,2.1003059858720587,0.365987919615753
ENSG00000145569,OTULINL,10840,0.025316164440447847,0.009552213538135715,0.008053882456574889,2.093994713049102,0.3695269954115858
ENSG00000112685,EXOC2,10841,0.025304783419542908,0.009552818539576624,0.008086323085742735,2.092248910596691,0.3695269954115858
ENSG00000196329,GIMAP5,10840,0.025275954573607137,0.009553003348969953,0.008160005596936384,2.088309543364061,0.3697279024231614
ENSG00000087338,GMCL1,10840,0.025283031642921203,0.009556072318480968,0.008162637021013192,2.0881695154295223,0.3697279024231614
ENSG00000160255,ITGB2,10840,0.025242348933477855,0.009552585785775428,0.008242390445047716,2.0839468166358186,0.3717028884034238
ENSG00000130193,THEM6,10840,0.025183596184610187,0.009552744665095175,0.008394295149032466,2.0760157647715816,0.3769001865604883
ENSG00000198791,CNOT7,10840,0.025142531919113906,0.009552201588986849,0.008497439249287695,2.070711931633804,0.37715141089367926
ENSG00000065413,ANKRD44,10840,0.02512485198358872,0.009553004282371705,0.00854936874695647,2.0680659507495265,0.37715141089367926
ENSG00000163956,LRPAP1,10840,0.02510562556034955,0.009552207355575382,0.008594546050408592,2.0657770570815277,0.37715141089367926
ENSG00000178585,CTNNBIP1,10840,0.025090840083700362,0.009554038065924525,0.008646480018417993,2.063160657818867,0.37715141089367926
ENSG00000142303,ADAMTS10,10840,0.02505716545378234,0.009552420920750525,0.008725006402391301,2.0592342456842903,0.37715141089367926
ENSG00000188647,PTAR1,10840,0.025058036378005674,0.009553465796297534,0.008730017097130487,2.0589849057581007,0.37715141089367926
ENSG00000184898,RBM43,10840,0.02500560482109295,0.009552211771186585,0.008862643822440456,2.052436704047472,0.37997054813795234
ENSG00000186174,BCL9L,10840,0.0249793235452068,0.00955382559847688,0.008945862746679365,2.048377769344342,0.3808132393979777
ENSG00000072518,MARK2,10840,0.024930206585986853,0.009552551583710848,0.009072092070783843,2.0422925508640364,0.3828340047699797
ENSG00000120049,KCNIP2,10840,0.024924757622442537,0.009552238984675004,0.009084954013214845,2.0416772666891974,0.3828340047699797
ENSG00000188321,ZNF559,10840,0.024883508023575935,0.009553123346272008,0.009206658892544852,2.035897947196054,0.38637904789039257
ENSG00000135905,DOCK10,10840,0.024799661145376777,0.009552140912762642,0.009437710845397945,2.0251333327963983,0.3864917533434759
ENSG00000175115,PACS1,10840,0.024771455777927432,0.00955285935013979,0.009524478716928075,2.021158784319724,0.3864917533434759
ENSG00000186469,GNG2,10840,0.024763738457412827,0.009552277156229508,0.009542480122025689,2.0203387360583025,0.3864917533434759
ENSG00000156587,UBE2L6,10840,0.024757544759882635,0.00955262837763549,0.009563117975778882,2.0194004864998725,0.3864917533434759
ENSG00000134954,ETS1,10840,0.024782911723346814,0.009562475982022967,0.009563568437039597,2.0193800299675013,0.3864917533434759
ENSG00000080822,CLDND1,10840,0.024717143329387216,0.009552522323878989,0.00968043660648597,2.0141050547255386,0.3864917533434759
ENSG00000127191,TRAF2,10840,0.024702785052265797,0.009552370414321987,0.009721567538581645,2.012263702309515,0.3864917533434759
ENSG00000136936,XPA,10840,0.024691758028216236,0.00955248785503339,0.009755053273380287,2.0107703545347717,0.3864917533434759
ENSG00000161204,ABCF3,10840,0.024675902955812384,0.00955248196992418,0.009802037198367353,2.0086836536888226,0.3864917533434759
ENSG00000137076,TLN1,10840,0.02465811051520205,0.009552999164280453,0.009859041364640553,2.00616531125421,0.3864917533434759
ENSG00000033170,FUT8,10840,0.024620701633877903,0.00955515926279152,0.009988188009840158,2.000513291424049,0.3864917533434759
ENSG00000131242,RAB11FIP4,10840,0.024630812042988132,0.009560070253257415,0.00999587360556063,2.0001792440176374,0.3864917533434759
ENSG00000141699,RETREG3,10840,0.024602661876806736,0.009553156654265847,0.01002718536417445,1.9988209565461819,0.3864917533434759
ENSG00000197442,MAP3K5,10840,0.024596414755633875,0.009553663821168625,0.010050117116978544,1.9978288772523325,0.3864917533434759
