gene,polarization_score
SCYL3,-36.803396154897335
KMT2A,-36.60855489950314
XRRA1,36.59804921909833
NRIP2,36.453111036631
PIP4P2,36.24598324667328
SYVN1,36.12647421134825
NDUFA11,36.05750538551516
MRPS23,-36.036932893803574
FHIP2A,-35.95373924435447
TBP,-35.951542453119956
SPTLC2,35.95025256052244
ACO2,35.7914468999636
ARF1,35.79043512857528
SKAP2,35.76751217007761
ZFP36L1,-35.72176341886205
PJA2,-35.69970726409658
ACYP2,35.69079349023953
TBC1D10B,35.67392178549573
TYK2,35.584489931035705
C1orf159,-35.57133883659832
ZNF444,35.486293319576305
COG5,35.458305380125985
ZBED3,35.33687672530541
XCL1,-35.32682048649393
DHX35,-35.23498739416393
ZBTB35,35.17676707523457
ARHGEF18,35.091734443776765
GP1BB,-35.064093372187024
WASF2,35.03997505866118
MTERF2,-35.03666705634275
USP16,35.02302690871605
HACD4,34.873737727778426
SMAGP,34.81412365628304
CORO7,34.807710492466185
RBPJ,-34.77240911905036
FAAP24,34.76637742254841
CRLF3,-34.743990329500626
GLI2,-34.72653548707707
DPF1,-34.69339002293127
FPGT,34.65032375368513
PPP1R15A,-34.64775643470351
DRAM2,34.536333968117255
USP22,-34.433178161531664
MAPK1,-34.415511204429905
APAF1,-34.40710386870793
RP9,34.40066268422374
CDC50A,34.355722680828485
RELL2,-34.25224215689868
USF2,34.23852363276353
PTPN2,-34.2196587695186
TM2D1,-34.19320101668735
RAD21,34.1750929903543
PARP14,34.11906110508091
UCK2,34.11737022239636
UBE2D3,-34.08490423235078
VIM,-34.054840696772565
OTUD4,-34.00247242125576
DHX34,-33.98986368848059
LAT,33.893544198841425
TRMT10A,-33.884232940170754
ICOS,-33.83784577457504
GBA2,33.82618223146628
SCGB1A1,-33.76071714746207
UBP1,33.75220923760798
IFI30,33.73255399374605
PPP6R2,33.60883630974277
PAN2,33.48503001075146
POLR3GL,-33.437723113196135
NDUFB9,33.43511270402198
ADORA2A,-33.41800767251765
POLDIP3,-33.41411383836341
MYG1,-33.39378837450465
FBXL9P,-33.39254247434642
C3orf18,-33.37805896631584
MINDY1,33.366813970768014
MAPK14,33.35740049234533
AP4M1,33.288774298448324
STAT2,33.281432558128856
CERT1,33.26977446048706
UBE2V2,33.241857229476715
TSTD2,-33.14543158224432
PRELID1,33.06377791648385
CD69,33.03248900190623
CCR2,-33.01323835115632
TMEM263,-32.9471153613529
PSMB5,-32.93393558448923
PTCH1,-32.932246013207916
SLC30A6,-32.92900348044282
PPP1R3B,32.921402080545825
POMGNT1,-32.90581321773441
DDIT4,32.8257367216252
RAD50,-32.815204820400695
KDM1A,32.767842846571625
UBN1,-32.72159694858879
DNAJB11,32.70618392418532
DOCK2,32.67655239868541
HACL2,32.580504537267785
ANTKMT,-32.386005257578915
SLC35D2,32.37852065609505
MIEF1,32.36873924748102
NANOS1,32.36688906689262
ERAP2,32.311138555105366
POLR3H,32.25498721593266
MTMR10,-32.214824059389
FBXW2,-32.18404762869926
ACSS1,32.12482977916992
PUM1,-32.023075701032234
CHIC2,-31.938313912890123
UBE2J1,-31.92663531809524
KRABD2,-31.911647422041437
PLCG1,31.88677660750262
KLF15,31.882990335461137
DDA1,31.833651612741107
CPEB3,-31.801357917310337
SMPD1,31.764551003258266
THAP2,31.71955319187829
KISS1R,-31.673452515487348
STYXL1,-31.63504617901968
NANP,31.61184935092129
ZNF223,31.60488610596419
SFXN1,31.553472615198874
S1PR4,-31.528708417805966
RWDD1,31.45211081174845
CENPV,-31.42120205120553
LCP2,31.41849934620086
NFKB1,-31.30085218962872
MFSD11,-31.29150579228065
GATA3,-31.256356485079664
SLC35B1,31.239549481219235
FIRRM,31.085350782882553
BNIP3,-31.075976722053582
HLA-A,31.041789287419604
PIK3C3,30.990601935552448
CD3G,30.978695431115284
PARP9,-30.938816414415705
TNFRSF1A,30.929099879597906
AFF1,-30.886629114346224
EXT1,30.842066285848112
KPNA4,30.763062230391814
KRCC1,30.74414464715594
MRPS21,-30.739649887558397
ZW10,30.72169114620699
GPCPD1,30.69779025139146
RTN4IP1,30.685572762294402
PAX7,30.67638260997405
ANKRD27,-30.675673230610112
IL21,-30.654362798000427
FAM220A,30.65121675056701
PTDSS2,30.603868188470848
DIAPH1,-30.46878107061098
FMC1-LUC7L2,-30.450441408289176
PLEKHA8,30.422772839557446
LIN7C,30.375011245708627
B4GALT7,30.36085756488583
SCO2,-30.30754045945005
PCNX3,-30.235817016887946
TMEM229B,-30.219550835793804
REXO1,30.203284255348144
SP100,-30.17686115204359
TFB2M,-30.17147575191555
RAB21,-30.126348744489498
RNFT1,30.092020206715844
CNNM3,-30.09123875980035
NUDCD1,-30.04430362612318
RALGAPB,30.033786492353215
SUPT7L,-29.99452620292082
SEC23B,-29.992880632077135
TBC1D10A,-29.955586934871054
NR2E1,29.955300305304284
