gene,rank,polarization_score,abs_score,direction,signs_agree,z_Stim8hr,z_Stim48hr,z_Rest,z_Rest_abs,coef_Stim8hr,coef_Stim48hr,known_regulator,regulator_type
TXLNB,2292,-8.760168112309305,8.760168112309305,toward_signature_neg,True,-7.521479431390378,-4.867269121705759,-28.832598744886933,28.832598744886933,-0.0056718762776944,-0.0036415198036014,False,
GPAT2,2293,-8.75835694550833,8.75835694550833,toward_signature_neg,False,-12.457969071850005,0.07178189540752991,8.639304481802784,8.639304481802784,-0.011709002328552,6.629751086622461e-05,False,
RMND5A,2294,-8.754366929769315,8.754366929769315,toward_signature_neg,False,-15.34153014996692,2.960985707896641,0.9319552844970154,0.9319552844970154,-0.0098598087208142,0.0018164849555627,False,
DNMT3A,2295,-8.742076414734441,8.742076414734441,toward_signature_neg,True,-0.3198530592833718,-12.043309969736038,-31.466642982834315,31.466642982834315,-0.0001455729171909,-0.0090196319832318,False,
FZR1,2296,-8.738019635556528,8.738019635556528,toward_signature_neg,False,-12.789893120336833,0.4324672434503803,-1.5181818193624546,1.5181818193624546,-0.0130831818459511,0.0002071207105715,False,
SBDS,2297,-8.732369080420032,8.732369080420032,toward_signature_neg,True,-4.7526960868667425,-7.59673869831074,-5.84934392029268,5.84934392029268,-0.0027453151025397,-0.0037686619710208,False,
RING1,2298,8.729249370379515,8.729249370379515,toward_signature_pos,False,13.020950711202044,-0.6759278622745323,16.32721892414166,16.32721892414166,0.0125460146673543,-0.0007036633121919,False,
RAB11FIP3,2299,-8.72016198025197,8.72016198025197,toward_signature_neg,True,-3.0648682063564863,-9.267303132206075,-23.01059851195301,23.01059851195301,-0.0022026760386963,-0.0083003631834162,False,
GDPD5,2300,-8.719645729103464,8.719645729103464,toward_signature_neg,True,-11.633509076390594,-0.6979321727961615,12.84765204435634,12.84765204435634,-0.0086121984978985,-0.0003553861857129,False,
UQCRC2,2301,-8.715060894032923,8.715060894032923,toward_signature_neg,True,-8.247380817997414,-4.07757649525134,0.6614274737841579,0.6614274737841579,-0.0066425609348084,-0.0035877129029345,False,
HDAC7,2302,8.711086380072267,8.711086380072267,toward_signature_pos,False,14.856856759688695,-2.537520257986945,-40.174169431452356,40.174169431452356,0.0073836044823813,-0.0014960358018231,False,
ACTR5,2303,8.708090176848208,8.708090176848208,toward_signature_pos,True,7.139238092479827,5.175861137986834,-1.8655025475799552,1.8655025475799552,0.0111475308725322,0.0066636495952386,False,
TADA3,2304,-8.699812756532738,8.699812756532738,toward_signature_neg,False,-12.812367792048475,0.5089746016534131,-9.76028613670911,9.76028613670911,-0.0135522641468297,0.0003488117394931,False,
SLC9A1,2305,-8.684389637685362,8.684389637685362,toward_signature_neg,False,-12.993003416748515,0.7114218102015059,-1.10101665099746,1.10101665099746,-0.0082330234809025,0.0004597514446531,False,
AK9,2306,-8.6801538929031,8.6801538929031,toward_signature_neg,False,1.2578152928172472,-13.53340665164643,22.328497084600755,22.328497084600755,0.0007754220135131,-0.0084450992379748,False,
TMEM168,2307,-8.673139589410065,8.673139589410065,toward_signature_neg,False,-18.097222507175164,5.831550871476432,-35.26095856506215,35.26095856506215,-0.010660890369103,0.0039322040846499,False,
BCL6,2308,-8.661335894154643,8.661335894154643,toward_signature_neg,True,-3.331623200013733,-8.91735548976866,-14.090792385263097,14.090792385263097,-0.0046374260179539,-0.0059627885783549,False,
ORAI1,2309,8.660768881529831,8.660768881529831,toward_signature_pos,True,11.455027210084333,0.7931496027540166,29.43330001027394,29.43330001027394,0.007101367622387,0.0005286076873471,False,
RFXANK,2310,8.652784452729435,8.652784452729435,toward_signature_pos,True,1.3991117266625464,10.837773398678479,-6.526881655162371,6.526881655162371,0.0008020209929045,0.0064530309423916,False,
CCDC12,2311,-8.652339777626066,8.652339777626066,toward_signature_neg,True,-6.633394563683675,-5.60286169609532,-20.47114951023144,20.47114951023144,-0.0034085656708441,-0.0036093999474849,False,
MOSPD1,2312,-8.644047688971664,8.644047688971664,toward_signature_neg,True,-8.86797604535074,-3.3565534301927977,9.944341712012077,9.944341712012077,-0.0069347890663255,-0.0016275030155734,False,
MEN1,2313,-8.642244181249552,8.642244181249552,toward_signature_neg,True,-4.7514412815382,-7.470537648924883,14.052154591781772,14.052154591781772,-0.0036832766783671,-0.006527945192739,False,
CD28,2314,8.63618794837519,8.63618794837519,toward_signature_pos,False,-12.818892799581576,25.032306923376844,2.0772352961661076,2.0772352961661076,-0.0101626003863929,0.0088069217629669,False,
TOR4A,2315,-8.636034549265814,8.636034549265814,toward_signature_neg,False,5.470950567148464,-17.684147751842797,-8.168341726912026,8.168341726912026,0.0047161416483119,-0.0095959468981388,False,
CCR10,2316,8.63344951555051,8.63344951555051,toward_signature_pos,True,4.635223894911518,7.574317500043438,-11.524038454479404,11.524038454479404,0.0033274938367449,0.0050434967300475,False,
SREBF1,2317,8.626322354149162,8.626322354149162,toward_signature_pos,True,0.6833171433000976,11.516144923339853,,,0.0005828796356596,0.0093984164555993,False,
DZANK1,2318,-8.619171597384796,8.619171597384796,toward_signature_neg,True,-5.546896849620201,-6.642452519822353,0.3297771436342615,0.3297771436342615,-0.0051673916940454,-0.0039394502746977,False,
TLR5,2319,-8.613361406519704,8.613361406519704,toward_signature_neg,True,-2.133900318824858,-10.047232199896307,6.6781850633697175,6.6781850633697175,-0.0011416195254195,-0.0075251968387301,False,
ZNF549,2320,8.609882556929454,8.609882556929454,toward_signature_pos,True,10.56217166634568,1.614041016103498,15.0868661174449,15.0868661174449,0.0079313324859056,0.001623895300317,False,
HIRIP3,2321,8.609318104952397,8.609318104952397,toward_signature_pos,True,7.269383951522532,4.906030475285383,-4.448479275462056,4.448479275462056,0.0096827474152019,0.0038480161105448,False,
PHOSPHO2,2322,8.605955352034407,8.605955352034407,toward_signature_pos,True,8.129783404299328,4.040875371725054,-22.938704642905414,22.938704642905414,0.0048730682647488,0.0040982234021343,False,
NOA1,2323,8.597254911940402,8.597254911940402,toward_signature_pos,False,-1.527593233729545,13.685947729374371,11.539142275589242,11.539142275589242,-0.0014191372331601,0.0055499674770685,False,
PRMT6,2324,-8.594523289562838,8.594523289562838,toward_signature_neg,True,-7.217584117057812,-4.936907281173382,-10.061537070820737,10.061537070820737,-0.0076941216311162,-0.0033098181417843,False,
SH3GL1,2325,-8.593085171531852,8.593085171531852,toward_signature_neg,True,-2.17592490711194,-9.97653268509554,2.6221347761455616,2.6221347761455616,-0.0012831351178591,-0.0043619179022255,False,
PIBF1,2326,8.586516981246426,8.586516981246426,toward_signature_pos,False,19.047294050850017,-6.9041252824244355,44.20717588888425,44.20717588888425,0.0163650551252052,-0.003550819978367,False,
PRKRA,2327,-8.583239075903046,8.583239075903046,toward_signature_neg,True,-8.38839884201609,-3.7501342682167116,18.17234879201231,18.17234879201231,-0.005300358269805,-0.0020869748064509,False,
MIB2,2328,-8.580474850264496,8.580474850264496,toward_signature_neg,True,-3.775094365983636,-8.359529538861668,-1.4865555778275308,1.4865555778275308,-0.0025256552095521,-0.005552625841842,False,
LRP5,2329,8.572169298036588,8.572169298036588,toward_signature_pos,True,7.095898859011142,5.026979221230456,-6.785253241954786,6.785253241954786,0.0039131416195467,0.0027485824443217,False,
TNK1,2330,8.56934842653421,8.56934842653421,toward_signature_pos,True,2.331583971234492,9.787304794270732,6.413520299671926,6.413520299671926,0.0013099459831471,0.0082537433750357,False,
AKR7A2,2331,8.566215809019413,8.566215809019413,toward_signature_pos,False,-0.972931607018105,13.087390182348173,-2.9059040626653827,2.9059040626653827,-0.0009139148964926,0.0101506933377864,False,
ZNF281,2332,-8.554435661278106,8.554435661278106,toward_signature_neg,True,-7.539013381232047,-4.558785549395509,0.7463338638593608,0.7463338638593608,-0.0052564399778676,-0.0023612588668774,False,
ZNF304,2333,-8.544663022997549,8.544663022997549,toward_signature_neg,True,-11.463173101363031,-0.6208052316679918,0.060109480040844314,0.060109480040844314,-0.0063223825072037,-0.0003647322180061,False,
RBFA,2334,-8.535064674819058,8.535064674819058,toward_signature_neg,True,-8.403848013702397,-3.666556205158224,12.016685677107505,12.016685677107505,-0.0052052827264996,-0.0027967013550673,False,
MEST,2335,-8.516176117987495,8.516176117987495,toward_signature_neg,True,-4.345510798294046,-7.698180967321727,2.842699202565805,2.842699202565805,-0.0037050934243268,-0.0049260175842946,False,
MRPS12,2336,-8.497155062785202,8.497155062785202,toward_signature_neg,True,-11.105144836564785,-0.9116470948132553,-18.61615856312744,18.61615856312744,-0.0049574038951942,-0.0006469087242523,False,
STK40,2337,8.476935713622332,8.476935713622332,toward_signature_pos,True,0.5258668983225366,11.462330555247018,23.92169633904043,23.92169633904043,0.0004725420200443,0.0049784203704206,False,
COX4I1,2338,-8.47564290370324,8.47564290370324,toward_signature_neg,True,-11.461412604956527,-0.5249565392918786,-12.858348700272792,12.858348700272792,-0.0075312659163837,-0.0003589942870461,False,
VPS9D1,2339,-8.472718125081203,8.472718125081203,toward_signature_neg,True,-4.89817074189525,-7.084062140758929,29.33387653705678,29.33387653705678,-0.0032585937385046,-0.0063732276388065,False,
PCM1,2340,8.464753929937674,8.464753929937674,toward_signature_pos,True,4.58839001303228,7.382579796836534,28.453137774602524,28.453137774602524,0.0042365050463362,0.005025340850334,False,
SCRN3,2341,8.463557276754093,8.463557276754093,toward_signature_pos,True,9.616081058637537,2.3531964280696016,-3.791784280100502,3.791784280100502,0.0077086836868016,0.0017339903638973,False,
CPTP,2342,8.4499244388088,8.4499244388088,toward_signature_pos,True,5.699714419333958,6.250283323057312,11.319630336561016,11.319630336561016,0.0032821913184917,0.0035169360073887,False,
METTL1,2343,8.448449594260518,8.448449594260518,toward_signature_pos,True,8.399589514984019,3.5483224822446795,1.5402069759590444,1.5402069759590444,0.0052675673215469,0.0020157116243901,False,
TXLNG,2344,-8.447447806908693,8.447447806908693,toward_signature_neg,True,-11.281526955406175,-0.664968300562958,-9.820091371276757,9.820091371276757,-0.0055485831914162,-0.0003884324309111,False,
NIPSNAP3A,2345,8.420923471843574,8.420923471843574,toward_signature_pos,False,17.019988714496467,-5.111004532909353,8.272368972838716,8.272368972838716,0.0113305590849852,-0.0038649225232743,False,
KEAP1,2346,8.419605694267554,8.419605694267554,toward_signature_pos,True,7.67654550320607,4.230575059460846,4.961951240345519,4.961951240345519,0.0074808163475385,0.0029483755368637,False,
PTGER3,2347,-8.418212913548084,8.418212913548084,toward_signature_neg,False,-15.619034899264504,3.713884025980474,-1.0477761835215482,1.0477761835215482,-0.0118150403215286,0.0027550536748718,False,
COQ10B,2348,8.399376846844653,8.399376846844653,toward_signature_pos,True,4.475954576217671,7.402558076072602,-11.026081017295235,11.026081017295235,0.0036244513582792,0.0043273383904932,False,
DENR,2349,8.391056967825866,8.391056967825866,toward_signature_pos,True,2.1809384245328776,9.685808142011723,-19.587176031935453,19.587176031935453,0.0019203589859727,0.0090343416186991,False,
IFT140,2350,8.389450972726927,8.389450972726927,toward_signature_pos,True,1.0684781842610291,10.795997162233547,-26.808772914936576,26.808772914936576,0.0005751976809776,0.0061151050656427,False,
SOS2,2351,8.374136759463676,8.374136759463676,toward_signature_pos,True,6.194822234829411,5.6479955435712,5.630433819624684,5.630433819624684,0.0032405861469873,0.0044163546893733,False,
RNF8,2352,-8.371312104548872,8.371312104548872,toward_signature_neg,True,-11.59323341081242,-0.24558970229865454,16.58337718445809,16.58337718445809,-0.0064920641414005,-0.0001608442511713,False,
MED15,2353,8.369378755509073,8.369378755509073,toward_signature_pos,True,4.993595796600122,6.8424931480780655,25.11784421579508,25.11784421579508,0.0039001849870911,0.0046244733117919,False,
STOML1,2354,-8.356384254314705,8.356384254314705,toward_signature_neg,True,-3.2688017429935945,-8.548910201859243,-1.6778853311765127,1.6778853311765127,-0.0023024650844041,-0.0049055149539968,False,
PLEK2,2355,8.354499455801042,8.354499455801042,toward_signature_pos,False,12.450057329183139,-0.6350108919506627,-8.49297042726323,8.49297042726323,0.006175269349272,-0.0003864649717002,False,
OPA1,2356,8.354328495226513,8.354328495226513,toward_signature_pos,False,16.727284571914467,-4.912479909445121,-5.612488387156659,5.612488387156659,0.0127229739540276,-0.0033959054173838,False,
