gene,kNN_max_score,nearest_approved_target,is_approved_target,n_downstream_z3,culture_condition
COX11,0.3593448996543884,IMPDH2,False,310,Stim8hr
KAT2B,0.359208345413208,CD3E,False,115,Stim8hr
AK3,0.3591409921646118,SLAMF7,False,248,Stim8hr
RAC2,0.35787299275398254,CD3E,False,198,Stim8hr
ULK4,0.3577693700790405,CD3E,False,174,Stim8hr
CYC1,0.3575422465801239,IMPDH2,False,373,Stim8hr
FLT3LG,0.357354074716568,CD3E,False,75,Stim8hr
BACH2,0.3573283553123474,ITK,False,119,Stim8hr
STXBP4,0.35617101192474365,IMPDH2,False,323,Stim8hr
KDM1A,0.35549208521842957,LCK,False,1398,Stim8hr
TWNK,0.3554915189743042,IMPDH2,False,204,Stim8hr
ADM5,0.3552371859550476,LCK,False,127,Stim8hr
MAPK14,0.35493582487106323,AHR,False,127,Stim8hr
NCOR1,0.35409417748451233,HDAC3,False,1085,Stim8hr
COA3,0.35388585925102234,IMPDH2,False,258,Stim8hr
S100P,0.35268843173980713,CD3E,False,72,Stim8hr
NEU1,0.352103054523468,CD3E,False,28,Stim8hr
ABCD3,0.35198524594306946,CD3E,False,74,Stim8hr
TAF1B,0.35173603892326355,CD274,False,72,Stim8hr
TNFSF8,0.3516186773777008,LCK,False,49,Stim8hr
NCBP3,0.3511812686920166,CD3E,False,427,Stim8hr
PSMB9,0.351007878780365,CD274,True,207,Stim8hr
SPHK1,0.34986621141433716,CD3E,False,71,Stim8hr
HS3ST3B1,0.3498552143573761,CD3G,False,36,Stim8hr
ABCA5,0.3492540419101715,CD274,False,103,Stim8hr
ACP6,0.3490137457847595,AHR,False,46,Stim8hr
TMEM140,0.3485930263996124,CD3E,False,79,Stim8hr
CDS2,0.34844180941581726,LCK,False,622,Stim8hr
GNE,0.34819862246513367,ITK,False,64,Stim8hr
SHMT1,0.3478836715221405,ITK,False,29,Stim8hr
IAH1,0.3478415608406067,CD3E,False,29,Stim8hr
RNASEH2C,0.3475114107131958,CD3E,False,513,Stim8hr
AGPAT5,0.34738659858703613,CD3D,False,38,Stim8hr
CBLL1,0.34733283519744873,LCK,False,383,Stim8hr
EGR3,0.347239226102829,CD3G,False,165,Stim8hr
TFAM,0.34710702300071716,IMPDH2,False,483,Stim8hr
COA7,0.3465970754623413,IMPDH2,False,214,Stim8hr
KBTBD2,0.34579113125801086,CD3G,False,55,Stim8hr
VARS2,0.34552618861198425,IMPDH2,False,494,Stim8hr
HPS4,0.3452013432979584,AHR,False,79,Stim8hr
TCEAL1,0.34506431221961975,CD3E,False,553,Stim8hr
ZNF43,0.34495875239372253,PSMB9,False,128,Stim8hr
ACSS2,0.34393593668937683,CD3G,False,81,Stim8hr
