Target (Gene),Action Type,Action,Drug Name,Specific Disease,num_drugs,num_diseases,Broad Category,maxClinicalStage,immune_indication
HMGCR,INHIBITOR,HMG-CoA reductase inhibitor,ATORVASTATIN; ATORVASTATIN CALCIUM; CERIVASTATIN; FLUVASTATIN; LOVASTATIN; PITAVASTATIN; PRAVASTATIN; PRAVASTATIN SODIUM; ROSUVASTATIN; SIMVASTATIN,B-cell chronic lymphocytic leukemia; Crohn disease; Graves ophthalmopathy; Kawasaki disease; Noonan syndrome; Waldenstrom macroglobulinemia; acute myeloid leukemia; autoimmune polyendocrinopathy; autoimmune thrombocytopenic purpura; lymphedema; multiple sclerosis; plasma cell myeloma; psoriasis; psoriatic arthritis; rheumatoid arthritis; systemic lupus erythematosus; systemic sclerosis; type 1 diabetes mellitus; ulcerative colitis; vitiligo,10,20,immune system disorder,APPROVAL,1
S1PR2,AGONIST,Sphingosine 1-phosphate receptor agonist,FINGOLIMOD HYDROCHLORIDE,multiple sclerosis; relapsing-remitting multiple sclerosis,1,2,immune system disorder,APPROVAL,1
S1PR2,BINDING AGENT,Sphingosine 1-phosphate receptor binding agent,FINGOLIMOD LAURYL SULFATE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
S1PR2,AGONIST; BINDING AGENT,Sphingosine 1-phosphate receptor agonist; Sphingosine 1-phosphate receptor binding agent,FINGOLIMOD,multiple sclerosis; primary progressive multiple sclerosis; relapsing-remitting multiple sclerosis,1,3,immune system disorder,APPROVAL,1
S1PR5,AGONIST,Sphingosine 1-phosphate receptor agonist,FINGOLIMOD HYDROCHLORIDE,multiple sclerosis; relapsing-remitting multiple sclerosis,1,2,immune system disorder,APPROVAL,1
S1PR5,AGONIST; MODULATOR,Sphingosine 1-phosphate receptor Edg-1 agonist; Sphingosine 1-phosphate receptor Edg-8 modulator; Sphingosine 1-phosphate receptor Edg-1 modulator; Sphingosine 1-phosphate receptor Edg-6 modulator,ETRASIMOD,Crohn disease; atopic eczema; inflammatory bowel disease; ulcerative colitis,1,4,immune system disorder,APPROVAL,1
S1PR5,MODULATOR,Sphingosine 1-phosphate receptor Edg-1 modulator; Sphingosine 1-phosphate receptor 5 modulator; Sphingosine 1-phosphate receptor Edg-8 modulator; Sphingosine 1-phosphate receptor Edg-1 modulator; Sphingosine 1-phosphate receptor Edg-6 modulator,ETRASIMOD ARGININE; OZANIMOD,Crohn disease; multiple sclerosis; ulcerative colitis,2,3,immune system disorder,APPROVAL,1
S1PR5,BINDING AGENT,Sphingosine 1-phosphate receptor binding agent,FINGOLIMOD LAURYL SULFATE,multiple sclerosis,1,1,immune system disorder,APPROVAL,1
S1PR5,AGONIST; BINDING AGENT,Sphingosine 1-phosphate receptor agonist; Sphingosine 1-phosphate receptor binding agent,FINGOLIMOD,multiple sclerosis; primary progressive multiple sclerosis; relapsing-remitting multiple sclerosis,1,3,immune system disorder,APPROVAL,1
TRPV1,INHIBITOR; OPENER,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener,ACETAMINOPHEN,"AIDS; Crohn disease; acute graft versus host disease; antiphospholipid syndrome; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; graft versus host disease; multiple sclerosis; seasonal allergic rhinitis",1,10,immune system disorder,APPROVAL,1
KCNG3,BLOCKER,Voltage-gated potassium channel blocker,AMIFAMPRIDINE; AMIFAMPRIDINE PHOSPHATE; DALFAMPRIDINE; GUANIDINE HYDROCHLORIDE,Guillain-Barre syndrome; autoimmune disease; autoimmune disorder of the nervous system; immune system disorder; multiple sclerosis; myasthenia gravis,4,6,immune system disorder,APPROVAL,1
TGFB2,INHIBITOR,Transforming growth factor beta inhibitor,LUSPATERCEPT,autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; myelofibrosis; primary myelofibrosis,1,4,immune system disorder,APPROVAL,1
PTGS1,INHIBITOR,Arachidonate 5-lipoxygenase inhibitor; Cyclooxygenase inhibitor; Cyclooxygenase inhibitor; Cyclooxygenase-1 inhibitor,ALCLOFENAC; ASPIRIN; BISMUTH SUBSALICYLATE; BROMFENAC; DEXIBUPROFEN; DICLOFENAC; DICLOFENAC POTASSIUM; DICLOFENAC SODIUM; DIFLUNISAL; FENOPROFEN; FENOPROFEN CALCIUM; FLURBIPROFEN; IBUPROFEN; INDOMETHACIN; KETOPROFEN; KETOROLAC TROMETHAMINE; LORNOXICAM; LOXOPROFEN; MECLOFENAMATE SODIUM; MECLOFENAMIC ACID; NAPROXEN; NAPROXEN SODIUM; OXAPROZIN; PIROXICAM; SULFASALAZINE; SULINDAC; TOLMETIN; TOLMETIN SODIUM,"B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Hashimoto thyroiditis; Kawasaki disease; Langerhans cell histiocytosis; MALT lymphoma; acquired polycythemia vera; acute graft versus host disease; acute myeloid leukemia; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; allergic rhinitis; ankylosing spondylitis; antiphospholipid syndrome; atopic conjunctivitis; atopic eczema; autoimmune thyroid disease; chronic granulomatous disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic recurrent multifocal osteomyelitis; diffuse large B-cell lymphoma; essential thrombocythemia; follicular lymphoma; lymphedema; mantle cell lymphoma; mixed phenotype acute leukemia; multiple sclerosis; myeloproliferative neoplasm; neoplasm of mature B-cells; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; psoriatic arthritis; rheumatoid arthritis; seasonal allergic rhinitis; systemic lupus erythematosus; thymic epithelial neoplasm; type 1 diabetes mellitus; ulcerative colitis; vitiligo",28,43,immune system disorder,APPROVAL,1
PTGS1,INHIBITOR; OPENER,Cyclooxygenase inhibitor; Anandamide amidohydrolase inhibitor; Vanilloid receptor opener,ACETAMINOPHEN,"AIDS; Crohn disease; acute graft versus host disease; antiphospholipid syndrome; autoimmune thrombocytopenic purpura; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; graft versus host disease; multiple sclerosis; seasonal allergic rhinitis",1,10,immune system disorder,APPROVAL,1
PTGS1,AGONIST; INHIBITOR,Peroxisome proliferator-activated receptor gamma agonist; Arachidonate 5-lipoxygenase inhibitor; Cyclooxygenase inhibitor,BALSALAZIDE; BALSALAZIDE DISODIUM; OLSALAZINE; OLSALAZINE SODIUM,ankylosing spondylitis; inflammatory bowel disease; ulcerative colitis,4,3,immune system disorder,APPROVAL,1
PTGS1,INHIBITOR; AGONIST,Arachidonate 5-lipoxygenase inhibitor; Cyclooxygenase inhibitor; Peroxisome proliferator-activated receptor gamma agonist,MESALAMINE,Crohn disease; colitis; collagenous colitis; inflammatory bowel disease; lymphocytic colitis; microscopic colitis; proctitis; proctosigmoiditis; ulcerative colitis; ulcerative proctosigmoiditis,1,10,immune system disorder,APPROVAL,1
DHODH,INHIBITOR,Dihydroorotate dehydrogenase inhibitor,LEFLUNOMIDE; TERIFLUNOMIDE,B-cell non-Hodgkin lymphoma; Henoch-Schoenlein purpura; Sjogren syndrome; acute graft versus host disease; autoimmune thrombocytopenic purpura; autoimmune uveitis; bullous pemphigoid; chronic graft versus host disease; chronic recurrent multifocal osteomyelitis; immunoglobulin G4-related sclerosing disease; lymphoproliferative syndrome; multiple sclerosis; myasthenia gravis; plasma cell myeloma; psoriatic arthritis; relapsing-remitting multiple sclerosis; rheumatoid arthritis; secondary progressive multiple sclerosis; smoldering plasma cell myeloma; systemic lupus erythematosus,2,20,immune system disorder,APPROVAL,1
TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor; DNA topoisomerase II inhibitor,AMRUBICIN; AMSACRINE; DAUNORUBICIN; DAUNORUBICIN HYDROCHLORIDE; DEXRAZOXANE; DEXRAZOXANE HYDROCHLORIDE; DOXORUBICIN; DOXORUBICIN HYDROCHLORIDE; ETOPOSIDE; IDARUBICIN; IDARUBICIN HYDROCHLORIDE; MITOXANTRONE; MITOXANTRONE HYDROCHLORIDE; TENIPOSIDE; VALRUBICIN; VOSAROXIN,"AIDS; B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; B-cell prolymphocytic leukemia; Burkitt lymphoma; Castleman disease; Chediak-Higashi syndrome; Chédiak-Higashi syndrome; HIV-associated cancer; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; Wiskott-Aldrich syndrome; X-linked lymphoproliferative syndrome; acquired polycythemia vera; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute myelomonocytic leukemia M4; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; aggressive B-cell non-Hodgkin lymphoma; autoimmune disorder of the nervous system; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; central nervous system non-hodgkin lymphoma; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; early T cell progenitor acute lymphoblastic leukemia; follicular lymphoma; graft versus host disease; granulocytic sarcoma; hemophagocytic syndrome; high grade B-cell lymphoma; indolent B-cell non-Hodgkin lymphoma; juvenile myelomonocytic leukemia; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; mixed phenotype acute leukemia; multiple sclerosis; myelofibrosis; myeloid leukemia; myeloid sarcoma; myeloproliferative neoplasm; neoplasm of mature B-cells; neutropenia; plasma cell leukemia; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary effusion lymphoma; primary myelofibrosis; psoriasis vulgaris; reticulum cell sarcoma; severe combined immunodeficiency; therapy related acute myeloid leukemia and myelodysplastic syndrome; thymic carcinoma; thymic epithelial neoplasm; thymoma; transient myeloproliferative syndrome",16,68,immune system disorder,APPROVAL,1
NDUFS1,INHIBITOR,Mitochondrial complex I (NADH dehydrogenase) inhibitor; Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,METFORMIN; METFORMIN HYDROCHLORIDE,B-cell chronic lymphocytic leukemia; Fanconi anemia; Graves ophthalmopathy; acute myeloid leukemia; diffuse large B-cell lymphoma; follicular lymphoma; latent autoimmune diabetes in adults; multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome; plasma cell myeloma; psoriasis; psoriasis vulgaris; psoriatic arthritis; rheumatoid arthritis; type 1 diabetes mellitus; ulcerative colitis; vitiligo,2,17,immune system disorder,APPROVAL,1
RRM2B,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor; Thioredoxin reductase 1 inhibitor,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,"AIDS; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; B-cell prolymphocytic leukemia; Burkitt lymphoma; Crohn disease; Fanconi anemia; Langerhans cell histiocytosis; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; bone marrow failure syndrome; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; essential thrombocythemia; follicular lymphoma; graft versus host disease; hemophagocytic syndrome; high grade B-cell lymphoma; immunodeficiency disease; inborn error of immunity; juvenile myelomonocytic leukemia; lymphoplasmacytic lymphoma; mantle cell lymphoma; mixed phenotype acute leukemia; multiple sclerosis; myelofibrosis; myeloid leukemia; myeloproliferative neoplasm; neoplasm of mature B-cells; plasma cell leukemia; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary myelofibrosis; systemic lupus erythematosus; systemic sclerosis",7,49,immune system disorder,APPROVAL,1
TUBB1,INHIBITOR; BINDING AGENT,Tubulin inhibitor; B-cell antigen receptor complex-associated protein beta chain binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 8 binding agent,BRENTUXIMAB VEDOTIN; POLATUZUMAB VEDOTIN,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; acute myeloid leukemia; adult T-cell leukemia/lymphoma; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; diffuse scleroderma; follicular lymphoma; graft versus host disease; high grade B-cell lymphoma; mantle cell lymphoma; marginal zone lymphoma; mast cell leukemia; systemic lupus erythematosus; systemic mastocytosis; systemic sclerosis,2,17,immune system disorder,APPROVAL,1
TUBB1,INHIBITOR,Tubulin inhibitor,COLCHICINE; DOCETAXEL; IXABEPILONE; PACLITAXEL; VINBLASTINE; VINBLASTINE SULFATE; VINCRISTINE; VINCRISTINE SULFATE; VINORELBINE,"AIDS; B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Castleman disease; Hashimoto thyroiditis; Langerhans cell histiocytosis; MALT lymphoma; Postpericardiotomy Syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute graft versus host disease; acute leukemia of ambiguous lineage; acute myeloid leukemia; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; aggressive B-cell non-Hodgkin lymphoma; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; autoimmune thyroid disease; central nervous system non-hodgkin lymphoma; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; early T cell progenitor acute lymphoblastic leukemia; familial Mediterranean fever; follicular lymphoma; hemophagocytic syndrome; high grade B-cell lymphoma; indolent B-cell non-Hodgkin lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; metastatic malignant neoplasm in the lymph nodes; mixed phenotype acute leukemia; neoplasm of mature B-cells; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary effusion lymphoma; primary myelofibrosis; psoriasis; psoriasis vulgaris; reticulum cell sarcoma; rheumatoid arthritis; thymic carcinoma; thymic epithelial neoplasm; thymoma; tonsil carcinoma; type 1 diabetes mellitus",9,55,immune system disorder,APPROVAL,1
TUBB1,BINDING AGENT; INHIBITOR,Receptor protein-tyrosine kinase erbB-2 binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 17 binding agent; Tubulin inhibitor,BELANTAMAB MAFODOTIN; TRASTUZUMAB EMTANSINE,plasma cell myeloma; smoldering plasma cell myeloma,2,2,immune system disorder,APPROVAL,1
PSMD1,INHIBITOR,26S proteasome inhibitor,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,"AIDS; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Evans syndrome; MALT lymphoma; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; acquired adult-onset immunodeficiency; acute graft versus host disease; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; autoimmune encephalitis; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; bone marrow cancer; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; cold agglutinin disease; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; indolent B-cell non-Hodgkin lymphoma; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myasthenia gravis; myelofibrosis; myeloid leukemia; neoplasm of mature B-cells; plasma cell leukemia; plasma cell myeloma; plasmacytoma; precursor B-cell acute lymphoblastic leukemia; primary effusion lymphoma; rheumatoid arthritis; smoldering plasma cell myeloma; systemic lupus erythematosus; systemic sclerosis",5,50,immune system disorder,APPROVAL,1
RARB,AGONIST,Retinoic acid receptor agonist; Retinoid receptor agonist,ACITRETIN; ALITRETINOIN; ETRETINATE; ISOTRETINOIN; TAZAROTENE; TRETINOIN,B-cell non-Hodgkin lymphoma; acute myeloid leukemia; acute promyelocytic leukemia; autoimmune thrombocytopenic purpura; chronic myelomonocytic leukemia; cutaneous lupus erythematosus; hand eczema; juvenile myelomonocytic leukemia; lymphoproliferative syndrome; myelofibrosis; neutropenia; palmoplantar pustulosis; plasma cell myeloma; psoriasis; psoriasis vulgaris; psoriatic arthritis; vitiligo,6,17,immune system disorder,APPROVAL,1
ROCK2,INHIBITOR,Rho-associated protein kinase 2 inhibitor; Rho-associated protein kinase inhibitor; Rho-associated protein kinase inhibitor,BELUMOSUDIL; BELUMOSUDIL MESYLATE,autoimmune disease; chronic graft versus host disease; diffuse scleroderma; graft versus host disease; immune system disorder; plasma cell myeloma; psoriasis vulgaris; psoriatic arthritis; rheumatoid arthritis; scleroderma; systemic lupus erythematosus; systemic sclerosis,2,12,immune system disorder,APPROVAL,1
PSMA3,INHIBITOR,26S proteasome inhibitor,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,"AIDS; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Evans syndrome; MALT lymphoma; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; T-cell prolymphocytic leukemia; Waldenstrom macroglobulinemia; acquired adult-onset immunodeficiency; acute graft versus host disease; acute myeloid leukemia; acute myeloid leukemia by FAB classification; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; autoimmune encephalitis; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; bone marrow cancer; chronic graft versus host disease; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; cold agglutinin disease; diffuse large B-cell lymphoma; follicular lymphoma; graft versus host disease; indolent B-cell non-Hodgkin lymphoma; lymphoplasmacytic lymphoma; mantle cell lymphoma; marginal zone lymphoma; mastocytosis; mixed phenotype acute leukemia; multiple sclerosis; myasthenia gravis; myelofibrosis; myeloid leukemia; neoplasm of mature B-cells; plasma cell leukemia; plasma cell myeloma; plasmacytoma; precursor B-cell acute lymphoblastic leukemia; primary effusion lymphoma; rheumatoid arthritis; smoldering plasma cell myeloma; systemic lupus erythematosus; systemic sclerosis",5,50,immune system disorder,APPROVAL,1
RRM2,INHIBITOR,DNA polymerase (alpha/delta/epsilon) inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor; Ribonucleoside-diphosphate reductase RR1 inhibitor; Thioredoxin reductase 1 inhibitor,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,"AIDS; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; B-cell prolymphocytic leukemia; Burkitt lymphoma; Crohn disease; Fanconi anemia; Langerhans cell histiocytosis; POEMS syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute leukemia of ambiguous lineage; acute monocytic leukemia; acute myeloid leukemia; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; bone marrow failure syndrome; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; essential thrombocythemia; follicular lymphoma; graft versus host disease; hemophagocytic syndrome; high grade B-cell lymphoma; immunodeficiency disease; inborn error of immunity; juvenile myelomonocytic leukemia; lymphoplasmacytic lymphoma; mantle cell lymphoma; mixed phenotype acute leukemia; multiple sclerosis; myelofibrosis; myeloid leukemia; myeloproliferative neoplasm; neoplasm of mature B-cells; plasma cell leukemia; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary myelofibrosis; systemic lupus erythematosus; systemic sclerosis",7,49,immune system disorder,APPROVAL,1
ADRA1B,AGONIST,Adrenergic receptor agonist; Adrenergic receptor alpha agonist; Adrenergic receptor alpha-1 agonist,ALFUZOSIN; DROXIDOPA; EPHEDRINE HYDROCHLORIDE; EPINEPHRINE; NAPHAZOLINE; NAPHAZOLINE HYDROCHLORIDE; OXYMETAZOLINE; OXYMETAZOLINE HYDROCHLORIDE; PHENYLEPHRINE; PHENYLEPHRINE HYDROCHLORIDE; TETRAHYDROZOLINE; XYLOMETAZOLINE,allergic disease; allergic rhinitis; anaphylaxis; atopic conjunctivitis; eye allergy; multiple sclerosis; myalgic encephalomeyelitis/chronic fatigue syndrome; seasonal allergic rhinitis; type 1 diabetes mellitus; type III hypersensitivity disease,12,10,immune system disorder,APPROVAL,1
ADRA1B,ANTAGONIST,Adrenergic receptor alpha antagonist; Adrenergic receptor alpha-1 antagonist; Adrenergic receptor beta antagonist,CARVEDILOL; PHENTOLAMINE,anaphylaxis; rheumatoid arthritis; type 1 diabetes mellitus,2,3,immune system disorder,APPROVAL,1
TUBA4A,INHIBITOR,Tubulin inhibitor,COLCHICINE; DOCETAXEL; IXABEPILONE; PACLITAXEL; VINBLASTINE; VINBLASTINE SULFATE; VINCRISTINE; VINCRISTINE SULFATE; VINORELBINE,"AIDS; B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Castleman disease; Hashimoto thyroiditis; Langerhans cell histiocytosis; MALT lymphoma; Postpericardiotomy Syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute graft versus host disease; acute leukemia of ambiguous lineage; acute myeloid leukemia; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; aggressive B-cell non-Hodgkin lymphoma; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; autoimmune thyroid disease; central nervous system non-hodgkin lymphoma; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; early T cell progenitor acute lymphoblastic leukemia; familial Mediterranean fever; follicular lymphoma; hemophagocytic syndrome; high grade B-cell lymphoma; indolent B-cell non-Hodgkin lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; metastatic malignant neoplasm in the lymph nodes; mixed phenotype acute leukemia; neoplasm of mature B-cells; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary effusion lymphoma; primary myelofibrosis; psoriasis; psoriasis vulgaris; reticulum cell sarcoma; rheumatoid arthritis; thymic carcinoma; thymic epithelial neoplasm; thymoma; tonsil carcinoma; type 1 diabetes mellitus",9,55,immune system disorder,APPROVAL,1
TUBA4A,INHIBITOR; BINDING AGENT,Tubulin inhibitor; B-cell antigen receptor complex-associated protein beta chain binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 8 binding agent,BRENTUXIMAB VEDOTIN; POLATUZUMAB VEDOTIN,B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; acute myeloid leukemia; adult T-cell leukemia/lymphoma; diffuse large B-cell lymphoma; diffuse large B-cell lymphoma of the central nervous system; diffuse scleroderma; follicular lymphoma; graft versus host disease; high grade B-cell lymphoma; mantle cell lymphoma; marginal zone lymphoma; mast cell leukemia; systemic lupus erythematosus; systemic mastocytosis; systemic sclerosis,2,17,immune system disorder,APPROVAL,1
TUBA4A,BINDING AGENT; INHIBITOR,Receptor protein-tyrosine kinase erbB-2 binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 17 binding agent; Tubulin inhibitor,BELANTAMAB MAFODOTIN; TRASTUZUMAB EMTANSINE,plasma cell myeloma; smoldering plasma cell myeloma,2,2,immune system disorder,APPROVAL,1
TUBB4A,INHIBITOR,Tubulin inhibitor,COLCHICINE; DOCETAXEL; IXABEPILONE; PACLITAXEL; VINBLASTINE; VINBLASTINE SULFATE; VINCRISTINE; VINCRISTINE SULFATE; VINORELBINE,"AIDS; B-cell acute lymphoblastic leukemia; B-cell adult acute lymphocytic leukemia; B-cell childhood acute lymphoblastic leukemia; B-cell chronic lymphocytic leukemia; B-cell non-Hodgkin lymphoma; Burkitt lymphoma; Castleman disease; Hashimoto thyroiditis; Langerhans cell histiocytosis; MALT lymphoma; Postpericardiotomy Syndrome; T-cell acute lymphoblastic leukemia; T-cell adult acute lymphocytic leukemia; Waldenstrom macroglobulinemia; acquired polycythemia vera; acute graft versus host disease; acute leukemia of ambiguous lineage; acute myeloid leukemia; acute promyelocytic leukemia; adult T-cell leukemia/lymphoma; aggressive B-cell non-Hodgkin lymphoma; autoimmune hemolytic anemia; autoimmune thrombocytopenic purpura; autoimmune thyroid disease; central nervous system non-hodgkin lymphoma; chronic myelogenous leukemia, BCR-ABL1 positive; chronic myelomonocytic leukemia; diffuse large B-cell lymphoma; early T cell progenitor acute lymphoblastic leukemia; familial Mediterranean fever; follicular lymphoma; hemophagocytic syndrome; high grade B-cell lymphoma; indolent B-cell non-Hodgkin lymphoma; lymphoproliferative syndrome; mantle cell lymphoma; marginal zone lymphoma; metastatic malignant neoplasm in the lymph nodes; mixed phenotype acute leukemia; neoplasm of mature B-cells; plasma cell myeloma; precursor B-cell acute lymphoblastic leukemia; primary central nervous system lymphoma; primary effusion lymphoma; primary myelofibrosis; psoriasis; psoriasis vulgaris; reticulum cell sarcoma; rheumatoid arthritis; thymic carcinoma; thymic epithelial neoplasm; thymoma; tonsil carcinoma; type 1 diabetes mellitus",9,55,immune system disorder,APPROVAL,1
TUBB4A,BINDING AGENT; INHIBITOR,Receptor protein-tyrosine kinase erbB-2 binding agent; Tubulin inhibitor; Tumor necrosis factor receptor superfamily member 17 binding agent; Tubulin inhibitor,BELANTAMAB MAFODOTIN; TRASTUZUMAB EMTANSINE,plasma cell myeloma; smoldering plasma cell myeloma,2,2,immune system disorder,APPROVAL,1
