gene,kNN_max_score,nearest_approved_target,approved_drugs_targeting_nearest_gene,is_approved_target,n_downstream_z3,culture_condition
ZNF649,0.5473583340644836,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,623,Stim48hr
FAM118B,0.5472787618637085,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,263,Stim48hr
OXA1L,0.5459029674530029,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,874,Stim48hr
NDUFS5,0.5446250438690186,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,255,Stim48hr
SIK3,0.5422360301017761,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,971,Stim48hr
CYB5RL,0.5410197973251343,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,307,Stim48hr
RNASEH1,0.5407257676124573,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,414,Stim48hr
CD2,0.5375123620033264,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,True,576,Stim48hr
ATP5F1A,0.5361640453338623,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,559,Stim48hr
HS3ST3B1,0.5356868505477905,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,224,Stim48hr
NUDCD1,0.5345412492752075,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,1115,Stim48hr
NKAPD1,0.5344797372817993,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,483,Stim48hr
PMVK,0.5317246317863464,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,2155,Stim48hr
DOLPP1,0.5316874384880066,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,750,Stim48hr
LRBA,0.5313912034034729,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,243,Stim48hr
TSFM,0.5305654406547546,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,307,Stim48hr
ATP5ME,0.5304479598999023,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,439,Stim48hr
STAT6,0.5298922061920166,IL4R,DUPILUMAB,False,706,Stim48hr
VPS33B,0.5296412110328674,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,175,Stim48hr
GATB,0.5287231206893921,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,268,Stim48hr
AURKAIP1,0.527842104434967,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,118,Stim48hr
UBE2V2,0.5275923609733582,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,686,Stim48hr
KAT2B,0.5262582898139954,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,150,Stim48hr
DCAF4,0.523534893989563,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,164,Stim48hr
NCAPG2,0.5230646729469299,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,647,Stim48hr
GAS2L1,0.5215541124343872,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,333,Stim48hr
MOV10,0.5198554396629333,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,742,Stim48hr
PLEKHG1,0.5194143652915955,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,370,Stim48hr
EML2,0.5158695578575134,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,294,Stim48hr
PEX5,0.5155022740364075,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,230,Stim48hr
NDUFAF6,0.5151984691619873,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,142,Stim48hr
COX18,0.5147243738174438,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,310,Stim48hr
RBM10,0.5145378708839417,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,771,Stim48hr
WARS2,0.5139683485031128,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,556,Stim48hr
