gene,kNN_max_score,nearest_approved_target,approved_drugs_targeting_nearest_gene,is_approved_target,n_downstream_z3,culture_condition
CCDC18,0.181119292974472,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,31,Stim48hr
HNRNPUL2,0.1810879558324813,EML4,ALECTINIB; ALECTINIB HYDROCHLORIDE; CERITINIB; CRIZOTINIB; LORLATINIB,False,51,Stim48hr
TMUB1,0.1810384541749954,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,26,Stim48hr
ZNF786,0.1810349225997924,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,47,Stim48hr
ZNF691,0.1810149848461151,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,49,Stim48hr
MRGBP,0.1808996647596359,PSMB9,BORTEZOMIB; BORTEZOMIB D-MANNITOL; CARFILZOMIB; IXAZOMIB; IXAZOMIB CITRATE,False,83,Stim48hr
ZNF16,0.180856317281723,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,46,Stim48hr
EFR3A,0.1808389276266098,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,68,Stim48hr
RABEPK,0.1807551085948944,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,35,Stim48hr
FCMR,0.1807486563920974,AHR,TAPINAROF,False,84,Stim48hr
BORCS6,0.180712342262268,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,32,Stim48hr
NUDT16,0.1807063221931457,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,60,Stim48hr
IFT57,0.1806869953870773,PRKCA,MIDOSTAURIN,False,16,Stim48hr
SLC25A15,0.1806665062904358,CD79B,POLATUZUMAB VEDOTIN,False,25,Stim48hr
IL4R,0.1806549131870269,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,516,Stim48hr
CMTM7,0.1806448549032211,CD2,ALEFACEPT,False,159,Stim48hr
SMCO4,0.1806190013885498,ITGB2,EFALIZUMAB; LIFITEGRAST,False,17,Stim48hr
CXCR6,0.180596575140953,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,23,Stim48hr
PIP4K2C,0.1805386543273925,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,19,Stim48hr
PRR14L,0.1805068701505661,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,49,Stim48hr
ELP5,0.1804551184177398,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,230,Stim48hr
MAP3K9,0.1804517209529876,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,9,Stim48hr
SPEF2,0.1803825050592422,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,13,Stim48hr
APH1B,0.1802883148193359,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,True,26,Stim48hr
LYSMD2,0.180188849568367,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,21,Stim48hr
HPF1,0.1801733672618866,PNP,FORODESINE HYDROCHLORIDE,False,46,Stim48hr
DOHH,0.1800790578126907,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,598,Stim48hr
FAM3A,0.1799452602863311,DPP4,ALOGLIPTIN; ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GEMIGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,False,43,Stim48hr
PARP4,0.1799428164958953,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,28,Stim48hr
AGL,0.1799232363700866,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,15,Stim48hr
NDUFS4,0.1798988878726959,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,True,14,Stim48hr
FUCA2,0.1798181533813476,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,17,Stim48hr
CNOT6,0.1798168122768402,NDUFB8,METFORMIN; METFORMIN HYDROCHLORIDE,False,30,Stim48hr
SGPP2,0.1797119528055191,CD2,ALEFACEPT,False,36,Stim48hr
ARGLU1,0.1796972155570984,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,74,Stim48hr
TBL1X,0.1796876937150955,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,125,Stim48hr
HECTD1,0.1796047836542129,CD2,ALEFACEPT,False,89,Stim48hr
ZNF841,0.1796011924743652,CD2,ALEFACEPT,False,17,Stim48hr
AGA,0.1795694679021835,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,41,Stim48hr
RARS2,0.1795586049556732,PDE6D,DIPYRIDAMOLE; PENTOXIFYLLINE,False,13,Stim48hr
HELB,0.1795445531606674,PRKCA,MIDOSTAURIN,False,27,Stim48hr
UBE2Q2,0.179537296295166,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,15,Stim48hr
WARS1,0.1795088946819305,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,57,Stim48hr
ORAI3,0.1794918626546859,PRKCA,MIDOSTAURIN,False,33,Stim48hr
EIF1AD,0.1794751137495041,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,73,Stim48hr
YWHAQ,0.1794531494379043,CUL4A,LENALIDOMIDE; POMALIDOMIDE; THALIDOMIDE,False,20,Stim48hr
SMARCAD1,0.1794388443231582,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,37,Stim48hr
SIMC1,0.1793704032897949,EZH2,TAZEMETOSTAT; TAZEMETOSTAT HYDROBROMIDE,False,89,Stim48hr
PPP1R3E,0.1793463975191116,ITGAL,EFALIZUMAB; LIFITEGRAST; ODULIMOMAB,False,30,Stim48hr
VCPIP1,0.1793178170919418,AHR,TAPINAROF,False,40,Stim48hr
ZNF714,0.1793161034584045,ODC1,EFLORNITHINE; EFLORNITHINE HYDROCHLORIDE,False,33,Stim48hr
HCLS1,0.1793157905340194,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,61,Stim48hr
RREB1,0.1793117076158523,CD2,ALEFACEPT,False,80,Stim48hr
ACAP1,0.1793044805526733,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,31,Stim48hr
CHD3,0.1792825758457183,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,31,Stim48hr
TNIP2,0.1792738884687423,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,25,Stim48hr
CDCA3,0.1792367696762085,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,164,Stim48hr
POLI,0.1792242377996444,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,47,Stim48hr
AP1S2,0.1791954487562179,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,48,Stim48hr
GLRX,0.1791802644729614,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,19,Stim48hr
SETD5,0.1791667640209198,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,90,Stim48hr
CEP350,0.1791381388902664,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,125,Stim48hr
CDKN2AIPNL,0.1790836900472641,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,41,Stim48hr
MAFG,0.1790783852338791,CCR5,MARAVIROC,False,42,Stim48hr
CKS2,0.1790505945682525,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,31,Stim48hr
CHAMP1,0.1790308803319931,CD2,ALEFACEPT,False,51,Stim48hr
ARSK,0.1790032386779785,THRA,DEXTROTHYROXINE; DEXTROTHYROXINE SODIUM; LEVOTHYROXINE; LEVOTHYROXINE SODIUM; LIOTHYRONINE; LIOTHYRONINE SODIUM; TIRATRICOL,False,63,Stim48hr
GLYR1,0.1789857149124145,THRA,DEXTROTHYROXINE; DEXTROTHYROXINE SODIUM; LEVOTHYROXINE; LEVOTHYROXINE SODIUM; LIOTHYRONINE; LIOTHYRONINE SODIUM; TIRATRICOL,False,64,Stim48hr
CMC1,0.1789693236351013,NDUFA4,,False,18,Stim48hr
TMEM143,0.1789657920598983,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,22,Stim48hr
ZNF322,0.1789519041776657,NDUFS5,METFORMIN; METFORMIN HYDROCHLORIDE,False,18,Stim48hr
CD96,0.1789262592792511,GPD2,METFORMIN; METFORMIN HYDROCHLORIDE,False,35,Stim48hr
NEK4,0.178904503583908,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,52,Stim48hr
SMARCC2,0.1788302809000015,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,38,Stim48hr
DUS4L,0.1788171678781509,PDE6D,DIPYRIDAMOLE; PENTOXIFYLLINE,False,67,Stim48hr
TRIM26,0.1787470877170562,IMPDH2,MIZORIBINE; MYCOPHENOLATE MOFETIL; MYCOPHENOLATE MOFETIL HYDROCHLORIDE; MYCOPHENOLATE SODIUM; MYCOPHENOLIC ACID; THIOGUANINE,False,61,Stim48hr
ANXA5,0.1787341833114624,PRKCA,MIDOSTAURIN,False,25,Stim48hr
IRF7,0.17871955037117,CD2,ALEFACEPT,False,25,Stim48hr
COX6B1,0.1787088811397552,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,108,Stim48hr
NDRG3,0.1787079423666,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,66,Stim48hr
RAD52,0.1786336898803711,CD2,ALEFACEPT,False,16,Stim48hr
SELENOO,0.1786250472068786,CD2,ALEFACEPT,False,20,Stim48hr
MIA2,0.1785988807678222,CUL4A,LENALIDOMIDE; POMALIDOMIDE; THALIDOMIDE,False,917,Stim48hr
KATNBL1,0.1785712540149688,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,11,Stim48hr
CREB3L4,0.1785148829221725,GPD2,METFORMIN; METFORMIN HYDROCHLORIDE,False,30,Stim48hr
XYLT2,0.1785092651844024,NDUFS5,METFORMIN; METFORMIN HYDROCHLORIDE,False,27,Stim48hr
MOB1B,0.1784705221652984,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,117,Stim48hr
SARAF,0.1784676313400268,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,29,Stim48hr
BBC3,0.1784285604953766,PRKCA,MIDOSTAURIN,False,41,Stim48hr
TP53I13,0.178412064909935,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,40,Stim48hr
TNFRSF9,0.1784093081951141,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,32,Stim48hr
NECAP1,0.178399920463562,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,17,Stim48hr
ANKZF1,0.1783897578716278,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,88,Stim48hr
HDGFL3,0.1783377379179,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,81,Stim48hr
CRY2,0.1782755553722381,PRKCA,MIDOSTAURIN,False,12,Stim48hr
KLF12,0.1782611608505249,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,16,Stim48hr
IFI27L1,0.1782508939504623,CD2,ALEFACEPT,False,124,Stim48hr
HOMER2,0.1782415062189102,IL4R,DUPILUMAB,False,5,Stim48hr
RAD23A,0.1782397627830505,AHR,TAPINAROF,False,86,Stim48hr
DYRK2,0.1781837195158004,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,41,Stim48hr
PTAR1,0.1781832873821258,ITGB2,EFALIZUMAB; LIFITEGRAST,False,31,Stim48hr
NCOA5,0.1781677603721618,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,81,Stim48hr
SLC27A2,0.1780943721532821,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,41,Stim48hr
FAM117B,0.1780815720558166,LCK,DASATINIB ANHYDROUS; PAZOPANIB; PAZOPANIB HYDROCHLORIDE,False,43,Stim48hr
OSTM1,0.1780523806810379,PRKCA,MIDOSTAURIN,False,25,Stim48hr
ACVR1,0.1780498623847961,ITGAL,EFALIZUMAB; LIFITEGRAST; ODULIMOMAB,True,54,Stim48hr
RPGR,0.1780431419610977,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,40,Stim48hr
RABGEF1,0.1779644936323166,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,190,Stim48hr
MIER2,0.1779568046331405,CD2,ALEFACEPT,False,35,Stim48hr
UCK2,0.1779416054487228,CD79B,POLATUZUMAB VEDOTIN,False,31,Stim48hr
VTI1A,0.1779209375381469,CSF2RB,SARGRAMOSTIM,False,26,Stim48hr
DDIAS,0.1778859347105026,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,37,Stim48hr
NBL1,0.1777980178594589,PRKCA,MIDOSTAURIN,False,42,Stim48hr
SLC39A6,0.1777956187725067,ODC1,EFLORNITHINE; EFLORNITHINE HYDROCHLORIDE,False,137,Stim48hr
WDR11,0.177775964140892,TNFRSF8,BRENTUXIMAB VEDOTIN,False,19,Stim48hr
TBK1,0.1777351647615432,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,54,Stim48hr
ZNF700,0.1777291893959045,CD2,ALEFACEPT,False,25,Stim48hr
ABRAXAS1,0.1776964962482452,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,39,Stim48hr
SLC35D1,0.1776898503303527,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,42,Stim48hr
TRAPPC12,0.1776545196771621,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,32,Stim48hr
GTPBP1,0.1775805056095123,NDUFB2,METFORMIN; METFORMIN HYDROCHLORIDE,False,16,Stim48hr
TXN2,0.177550733089447,NDUFA8,METFORMIN; METFORMIN HYDROCHLORIDE,False,35,Stim48hr
NDRG1,0.1775268465280532,CD2,ALEFACEPT,False,103,Stim48hr
MFSD12,0.1775244027376175,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,19,Stim48hr
MYCBP2,0.1773733794689178,FCGRT,EFGARTIGIMOD ALFA; NIPOCALIMAB; ROZANOLIXIZUMAB,False,23,Stim48hr
HAUS2,0.1773677915334701,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,False,107,Stim48hr
DDX19B,0.1773315221071243,CD2,ALEFACEPT,False,8,Stim48hr
USP42,0.1773010343313217,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,31,Stim48hr
FAM133B,0.1772782504558563,DPP4,ALOGLIPTIN; ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GEMIGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,False,79,Stim48hr
CAMK2D,0.177273690700531,PRKCQ,MIDOSTAURIN,False,17,Stim48hr
AMPD3,0.1772511601448059,CXCR4,MAVORIXAFOR; MOTIXAFORTIDE; PLERIXAFOR,False,54,Stim48hr
SLC25A40,0.1771800369024276,NDUFS8,METFORMIN; METFORMIN HYDROCHLORIDE,False,64,Stim48hr
ROCK2,0.1771605759859085,PRKCA,MIDOSTAURIN,True,25,Stim48hr
U2AF1L4,0.1771254241466522,CD2,ALEFACEPT,False,22,Stim48hr
SBF1,0.1770549565553665,IFNGR2,INTERFERON GAMMA-1B,False,32,Stim48hr
PPIG,0.1770236194133758,PIK3CD,COPANLISIB; COPANLISIB HYDROCHLORIDE; DUVELISIB; DUVELISIB MONOHYDRATE; IDELALISIB; LENIOLISIB; LENIOLISIB PHOSPHATE; PARSACLISIB; UMBRALISIB; UMBRALISIB TOSYLATE,False,40,Stim48hr
PPP2R3B,0.1770150661468505,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,36,Stim48hr
YIF1B,0.1769799292087555,NDUFB8,METFORMIN; METFORMIN HYDROCHLORIDE,False,37,Stim48hr
ZNF483,0.1769571900367736,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,6,Stim48hr
IL26,0.1769482940435409,PRKCA,MIDOSTAURIN,False,23,Stim48hr
FLT1,0.1769142299890518,IL2RB,ALDESLEUKIN; BASILIXIMAB; DACLIZUMAB; DENILEUKIN DIFTITOX; NOGAPENDEKIN ALFA INBAKICEPT,True,25,Stim48hr
EHD3,0.1769062727689743,CD2,ALEFACEPT,False,20,Stim48hr
SRXN1,0.1768660992383957,PRKCA,MIDOSTAURIN,False,49,Stim48hr
CTU1,0.176862746477127,RXRB,ACITRETIN; ALITRETINOIN; BEXAROTENE; ETRETINATE,False,114,Stim48hr
RNF126,0.1768406629562378,CD3E,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB; TEPLIZUMAB,False,42,Stim48hr
RUNX2,0.1767313778400421,CD3G,BLINATUMOMAB; CATUMAXOMAB; ELRANATAMAB; EPCORITAMAB; GLOFITAMAB; MOSUNETUZUMAB; MUROMONAB-CD3; ODRONEXTAMAB; TALQUETAMAB; TARLATAMAB; TECLISTAMAB,False,113,Stim48hr
PGRMC1,0.1767291277647018,PDE6D,DIPYRIDAMOLE; PENTOXIFYLLINE,False,32,Stim48hr
PPP6R1,0.1766908913850784,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,53,Stim48hr
RFK,0.1765398234128952,NDUFV2,METFORMIN; METFORMIN HYDROCHLORIDE,False,30,Stim48hr
PRRC1,0.1765303611755371,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,15,Stim48hr
ABCD2,0.1765221953392028,RRM2B,CLOFARABINE; FLUDARABINE PHOSPHATE; GALLIUM NITRATE; GEMCITABINE; GEMCITABINE HYDROCHLORIDE; HYDROXYUREA; MOTEXAFIN GADOLINIUM,False,76,Stim48hr
HSBP1,0.1764945685863495,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,46,Stim48hr
ACAD10,0.1764669120311737,NDUFB6,METFORMIN; METFORMIN HYDROCHLORIDE,False,54,Stim48hr
CSF1,0.1764375418424606,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,8,Stim48hr
NOL3,0.1764346063137054,THRA,DEXTROTHYROXINE; DEXTROTHYROXINE SODIUM; LEVOTHYROXINE; LEVOTHYROXINE SODIUM; LIOTHYRONINE; LIOTHYRONINE SODIUM; TIRATRICOL,False,38,Stim48hr
TCEAL8,0.1763954311609268,PIK3CD,COPANLISIB; COPANLISIB HYDROCHLORIDE; DUVELISIB; DUVELISIB MONOHYDRATE; IDELALISIB; LENIOLISIB; LENIOLISIB PHOSPHATE; PARSACLISIB; UMBRALISIB; UMBRALISIB TOSYLATE,False,53,Stim48hr
TOR1AIP2,0.176370307803154,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,18,Stim48hr
VASP,0.1763417273759842,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,7,Stim48hr
CSTF2,0.1763156205415725,CD2,ALEFACEPT,False,84,Stim48hr
QSER1,0.1762751340866089,NDUFAF3,METFORMIN; METFORMIN HYDROCHLORIDE,False,31,Stim48hr
GORASP1,0.1762348413467407,CD2,ALEFACEPT,False,36,Stim48hr
APOL2,0.1762338578701019,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,28,Stim48hr
ORMDL1,0.1761810481548309,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,26,Stim48hr
BORCS7,0.1761708110570907,ITK,PAZOPANIB; PAZOPANIB HYDROCHLORIDE; RITLECITINIB; RITLECITINIB TOSYLATE,False,17,Stim48hr
HSP90AB1,0.1761442869901657,INSR,"INSULIN ASPART; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN ICODEC; INSULIN LISPRO; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL",False,84,Stim48hr
