gene,gwas_score
MB21D2,0.651640
ALOX5AP,0.651496
IRX3,0.651473
CCDC63,0.651419
MAGI3,0.651409
ITPKB,0.651080
RASGEF1A,0.650826
TNRC6A,0.650677
PTPRM,0.650229
NRXN3,0.650123
CHLSN,0.649968
CCL2,0.649884
CCL22,0.649711
REV3L,0.649603
GCKR,0.649429
NFIC,0.648898
CD200,0.648857
MFSD6,0.648361
PPARD,0.647291
CLEC2D,0.647132
PIK3R5,0.646704
MYT1L,0.646704
CHEK2,0.646611
ATXN2,0.646311
ARHGAP26,0.646026
ERN1,0.645618
UBASH3B,0.645560
PRDM16,0.645500
ITM2A,0.643794
SOX4,0.643748
ZNF800,0.643735
KCNMB2,0.643006
HELZ2,0.642707
COL22A1,0.642579
TRIQK,0.642415
GSDMB,0.642364
RMI2,0.642235
PCSK5,0.641529
ELK3,0.640435
TNC,0.640213
BOD1L2,0.640023
PRKG1,0.639917
COX7B2,0.639524
CCN1,0.639466
TASL,0.639243
GPR158,0.639217
GLDN,0.638465
ADAMTS3,0.638431
PRL,0.638104
UBE2E2,0.638080
IL1B,0.637918
FRMPD2,0.636831
MMP9,0.636628
SAMSN1,0.636355
FLRT2,0.635973
TSHZ2,0.635823
RFWD3,0.635739
HECW1,0.635300
AHNAK2,0.635180
ANKS1A,0.635144
TNFSF8,0.634966
NRSN1,0.634820
MYB,0.634425
PCDH20,0.634349
VIT,0.633971
POU2F3,0.633603
SASH1,0.633588
TTC34,0.633437
KCNJ15,0.633425
TNFRSF11B,0.633321
TLE3,0.633168
ZC3HAV1,0.633127
CLEC16A,0.633109
TCP11,0.632787
SGCD,0.632700
HS3ST4,0.632680
GGNBP2,0.632408
SYT1,0.632312
MAPT,0.631995
MAPK14,0.631910
SGCZ,0.631473
SCN3A,0.631149
ZPBP2,0.629609
PPP2R3A,0.629242
FAT4,0.629227
ASPH,0.629059
CAMK2D,0.628378
PROX1,0.628040
LRRC43,0.627935
KLF3,0.627590
RPH3A,0.627489
DMRT1,0.627390
SYNPR,0.626987
FRMD4B,0.626887
ZNF365,0.624764
NOS3,0.624742
MSX2,0.624359
GALNTL6,0.624315
LRRTM4,0.624073
AMZ1,0.623476
NEDD1,0.623427
NFIB,0.622856
MALT1,0.622592
CLPSL2,0.622517
GAL3ST2,0.622516
PDE4D,0.622464
ICAM5,0.622423
PDE8A,0.622141
PPARG,0.622079
PCSK2,0.621689
SOHLH2,0.621130
NR3C1,0.620880
ADAM23,0.620846
DTNB,0.620755
EMSY,0.620438
SYNE1,0.620354
BCL10,0.620252
HNF4G,0.619209
SYTL2,0.619145
C7orf33,0.619110
FOXN3,0.619016
ROR2,0.618979
AGTPBP1,0.618842
ZC2HC1A,0.618366
MED13,0.618347
PTGIR,0.618163
RAPGEF6,0.617996
CNTN4,0.617709
HSBP1,0.617672
CNTN5,0.617069
SELL,0.617013
WWOX,0.616856
RERE,0.616389
CACNA1C,0.616180
IL22RA2,0.615859
ZWINT,0.615538
CTNNA2,0.615446
RHOU,0.615173
GAP43,0.615119
USP34,0.614690
PRKRA,0.614670
LYST,0.614238
GALNT2,0.614193
FCRLB,0.614130
DPYS,0.613870
NEGR1,0.613631
OLIG3,0.613127
PREX1,0.612704
SEMA6A,0.612529
LEKR1,0.612272
SCAF8,0.612261
ANO3,0.612144
ACTL9,0.611926
POSTN,0.611915
DYNLRB2,0.611804
OPCML,0.611578
STK24,0.611236
SLC68A1,0.611141
SAE1,0.611012
PRF1,0.610643
GPD2,0.610613
EHF,0.610474
ADAMTS17,0.610235
RAB2A,0.610194
FGFR2,0.609893
DOK6,0.609753
ASCL2,0.609714
HK1,0.608298
PSD3,0.608247
ELP6,0.607874
XCR1,0.607859
UBAC2,0.607813
MGMT,0.607792
NR4A2,0.607780
PRKCE,0.607646
CDK5RAP2,0.607495
CREM,0.606991
PRKAB1,0.606816
FYN,0.606754
VWC2,0.606597
PSTPIP1,0.606526
NXPH1,0.606434
DOCK2,0.606271
ANKRD30A,0.606039
LSP1,0.606001
RPLP1,0.605891
ITPKA,0.605721
SHANK2,0.605714
SPEF2,0.605576
SEC61G,0.605523
HRNR,0.605449
PAPPA,0.605448
CFAP299,0.605274
DAB1,0.604890
LINGO1,0.604868
BTBD3,0.604769
SBNO2,0.604644
FBLN7,0.604523
DAAM1,0.604496
CD80,0.604460
CRB1,0.604320
PAM,0.604300
UBE2E3,0.603910
KIF11,0.603831
VOPP1,0.603828
KIF21B,0.603497
ACAD10,0.603253
LHFPL3,0.603121
IL6,0.602723
SORCS1,0.602503
NUDT3,0.602250
CCDC91,0.602161
ANLN,0.602103
CAMK4,0.601864
CAMTA1,0.601433
LINGO2,0.600998
GSE1,0.600808
CTTN,0.600723
TUBD1,0.600702
ARHGAP24,0.600609
UQCC2,0.600370
CCR2,0.600343
ZBTB7C,0.600290
LAYN,0.600270
SENP6,0.600181
TMPRSS6,0.600154
B3GALT5,0.600127
CDH10,0.599524
LONRF2,0.599508
ITGAM,0.599417
SLC60A2,0.599184
BARD1,0.598992
CHSY3,0.598949
ACER2,0.598944
CAMK2A,0.598856
NUBPL,0.598713
HIVEP2,0.598699
CIMAP1B,0.598588
FASLG,0.598495
ID2,0.598218
SPATA2,0.597719
NCOA7,0.597261
NALF1,0.597259
LDLRAP1,0.597092
ID4,0.597053
ESR1,0.597021
CHRM3,0.597001
RNF145,0.596890
PRSS55,0.596475
LCOR,0.596164
TIMP4,0.595769
CNTN6,0.595395
RP1,0.595344
ATP8B4,0.595289
LRRC18,0.595051
USP44,0.594638
TAFA2,0.594525
GPR78,0.594399
IGFBP3,0.594325
GPR149,0.594261
WNT9B,0.593531
P2RY10,0.592958
RPS23,0.592414
HPSE,0.592239
SRPX,0.591779
FBN2,0.591648
PTPN1,0.591336
FOXE1,0.590850
WDR72,0.590848
GREM2,0.590834
COPS8,0.590483
MAP3K7,0.590465
EYS,0.590354
CSF3,0.590122
NALCN,0.589878
NELL2,0.589866
IL3,0.589849
SCRN1,0.589439
TRIM36,0.589220
MYO3B,0.589214
SHISAL1,0.589086
C11orf97,0.589059
CDKN3,0.589059
RANBP6,0.589031
PTPRN2,0.588951
SLIT1,0.588863
CPEB4,0.588826
NKD1,0.588478
SULT1A1,0.588364
RNLS,0.588360
ASPG,0.587444
FSIP2,0.586726
THADA,0.586665
PPP1R9A,0.586540
NAV3,0.586447
PKD2L2,0.586331
TOR3A,0.586281
ABI3BP,0.586216
ZMIZ1,0.586204
CFAP20DC,0.586132
GYPC,0.585758
TEAD3,0.585738
SYNE2,0.585726
ILRUN,0.585713
FCRL1,0.585711
ANKRD7,0.585414
ADCY2,0.585284
ICOS,0.585185
ENO4,0.585052
CDH4,0.584801
SHISA2,0.584743
PRXL2B,0.584652
ATM,0.584449
DPP6,0.584213
GRB10,0.584192
TEC,0.584056
ABR,0.583802
FDX2,0.583762
FTCD,0.583595
ERRFI1,0.583460
STK38,0.583332
RAVER2,0.583216
CBFA2T3,0.583041
DSC1,0.582946
PRORP,0.582801
TMEM50B,0.582751
NR3C2,0.582725
CEP57,0.582474
PHYKPL,0.582353
IRF3,0.582034
SHC4,0.581982
ZNF254,0.581953
MIER1,0.581931
HBP1,0.581400
DLEU7,0.581392
ARHGAP28,0.581290
DMRTA1,0.581200
WFS1,0.581193
PPP2R2A,0.581010
NCKAP5,0.580897
CA10,0.580750
ATP2C1,0.580697
TPH2,0.580551
TENM2,0.580526
ITFG1,0.580460
CPNE3,0.579880
TECTA,0.579772
ANKRD28,0.579707
GLT1D1,0.579303
KCNJ2,0.579230
DLGAP1,0.579146
FGF2,0.579102
UBE2H,0.579092
TXK,0.578904
KCNN2,0.578885
GPR26,0.578589
MC1R,0.578554
CYP2B6,0.578538
ELAPOR2,0.578147
RIPOR2,0.578114
NOTCH2,0.578080
TRPM3,0.578032
SNAI1,0.577698
HIPK2,0.577410
DNAI4,0.577379
PNPLA1,0.577242
PXK,0.576899
KDM4C,0.576390
MUC1,0.576389
APOE,0.576338
BABAM2,0.576325
PPDPFL,0.576324
PTPRD,0.575849
FSCN1,0.575836
KLK4,0.575765
PPP2R2C,0.575643
CHRM2,0.575388
MAD1L1,0.575162
GTF2IRD1,0.575128
TNPO1,0.575111
SLC6A11,0.574924
SEMA5A,0.574573
TRMU,0.574276
UST,0.574170
PARN,0.574117
CCR5,0.574038
CBX7,0.573526
INSL6,0.573234
CD200R1L,0.573186
ITIH2,0.572766
FBXO11,0.572749
DYSF,0.572651
GPC5,0.572623
TMEM178A,0.572553
CD5L,0.572483
TUFM,0.571943
FANCE,0.571902
KCNK13,0.571812
STAM2,0.571763
USP25,0.571575
OLFM3,0.571566
MYPN,0.571174
AGK,0.571074
CDH20,0.570958
MAL2,0.570788
RASA2,0.570436
PSMA6,0.570342
PON1,0.569733
SLAMF7,0.569722
ASAP2,0.569473
ARAP1,0.569139
EHMT1,0.569109
DGKB,0.568648
TPD52,0.568551
OTX2,0.568317
SLC35F4,0.568215
EDARADD,0.567770
RPRD2,0.567428
CACNA2D1,0.566575
DDC,0.566421
HORMAD2,0.566358
CCDC71L,0.566342
POF1B,0.566222
NDNF,0.566052
SFMBT1,0.565893
TXNL1,0.565847
RBPJ,0.565697
KHDRBS3,0.565388
SLIT3,0.564989
BLTP3A,0.564304
CASR,0.563847
MTMR3,0.563636
PRM1,0.563269
PCDH15,0.563188
MAPK3,0.563102
FASTKD3,0.562661
BAZ1A,0.562608
PRKAG2,0.562085
ANXA3,0.562069
FARP2,0.562042
MPDZ,0.562008
SEPTIN8,0.561777
RAB5B,0.561642
SEC22B,0.561236
PUSL1,0.560665
PTN,0.560647
CYP2J2,0.560088
DUSP10,0.560052
CIART,0.559989
EPHA7,0.559796
ADRA2C,0.559254
STAG1,0.559035
CD47,0.558692
LMO7,0.558562
GSTCD,0.558198
COL4A2,0.557953
DLGAP2,0.557928
HMSD,0.557754
FSTL5,0.557695
RIPK2,0.557663
TLR10,0.557121
ADCY9,0.556918
PAH,0.556331
EPS8L3,0.555969
DNAH8,0.555954
CDC42SE2,0.555869
PLGRKT,0.555696
MMP16,0.555648
EDNRB,0.555220
TGFA,0.555122
KALRN,0.555014
AGO1,0.554645
SLC22A23,0.554579
BARX1,0.554501
GLS,0.554424
LETM1,0.554219
BLID,0.553312
FSHR,0.553222
EDN3,0.553208
DLG2,0.552912
SNRPC,0.552756
TPPP,0.552650
PRKD1,0.552544
ZBTB40,0.552536
ACTR2,0.552491
GPR132,0.552327
LHPP,0.552107
C11orf87,0.551863
PDE4B,0.551629
TNIP3,0.551431
POM121L12,0.551338
NINJ2,0.551280
CASP10,0.551228
ARHGAP20,0.551194
MNS1,0.551155
IGFBP7,0.550946
FRG2C,0.550842
TNS1,0.550750
TECPR2,0.550656
CCND1,0.550623
TNS4,0.550451
CTSF,0.550426
CXCR4,0.550107
SLC44A3,0.549914
GZMB,0.549883
ANGPT2,0.549809
KIF3A,0.549769
PTPRE,0.549658
SUCLG2,0.549498
ADAM15,0.549425
NGF,0.548926
OSTM1,0.548840
SPATA32,0.548774
SS18,0.548709
HELZ,0.548567
VPS13A,0.548459
IPCEF1,0.548436
CCDC190,0.548387
RCC1,0.548236
CDKN1B,0.548160
ETV1,0.548111
CELSR1,0.548103
RFX7,0.548099
PRKN,0.547366
GART,0.547131
PALM2AKAP2,0.546764
FOXI2,0.546689
FLI1,0.546276
EVPL,0.546171
TRAPPC11,0.546150
DACT2,0.546097
NLRP5,0.545982
TIMMDC1,0.545822
TBC1D2,0.545808
BDKRB2,0.545665
LHX2,0.545502
RPGRIP1L,0.545114
ANO2,0.545032
LCT,0.544966
IFI30,0.544795
PSMD5,0.544349
PKP2,0.543612
ZNF507,0.543605
GNG12,0.543468
RGS13,0.543418
CRPPA,0.543412
COL15A1,0.543338
IL36RN,0.543208
IGFBP4,0.542912
PRKX,0.542596
CASP3,0.542200
SMARCE1,0.542148
IRX2,0.542120
MRPS31,0.541995
NREP,0.541517
ACTN1,0.541407
LHFPL6,0.541239
GFRA1,0.541130
SLITRK6,0.540736
ACTR1B,0.540265
KCNJ11,0.540064
SSPN,0.539980
TFCP2L1,0.539961
TH,0.539824
GPATCH2L,0.539761
EFEMP1,0.539537
HMGA1,0.539496
CDH9,0.539276
LGSN,0.539261
ERICH1,0.539068
RFT1,0.538942
FKBP5,0.538748
DCHS2,0.538610
ST3GAL6,0.538564
ZDHHC14,0.538548
ZFP90,0.538392
PGR,0.537982
TMEM26,0.537828
CNTNAP5,0.537826
ITPR1,0.537713
PPARGC1A,0.537503
INPP5B,0.537335
CAMK1D,0.537258
ZEB2,0.537069
ZNHIT3,0.536942
PGBD5,0.536759
STN1,0.536470
EFHB,0.536207
CSGALNACT1,0.536102
MTAP,0.536081
ADCY8,0.536024
TBCD,0.535995
FMN1,0.535887
DHCR7,0.535884
TSPAN2,0.535873
HACE1,0.535807
HMGXB4,0.535725
GYPA,0.535653
LMO4,0.535533
ENPP6,0.535322
CTH,0.535310
SUFU,0.535231
MACF1,0.535074
NTM,0.534772
LZTFL1,0.534752
ARHGAP12,0.534504
ZSWIM6,0.534460
GPR183,0.534093
AFAP1,0.533961
ARHGAP18,0.533855
RPRM,0.533257
PANX1,0.533212
TDRKH,0.533119
PAQR5,0.532985
SPPL3,0.532929
ATP23,0.532796
GNG2,0.532587
SATB2,0.532585
MTARC2,0.532545
ARHGAP29,0.532389
FLNB,0.532123
LPIN1,0.532075
SCML4,0.531886
LRBA,0.531815
EYA4,0.531718
PIK3R1,0.531554
RPL6,0.531381
MAGI1,0.531306
CFAP90,0.530972
ZNF142,0.530541
KCNK1,0.530492
UQCRFS1,0.530204
LIME1,0.530046
TBC1D22A,0.529970
FGGY,0.529695
LAMB1,0.529664
NCOA2,0.529442
ANXA1,0.529372
BRINP3,0.529029
DNLZ,0.528852
COMMD1,0.528834
CHST1,0.528823
GRHL2,0.528820
SH2D4B,0.528134
BBS7,0.528011
TIAM1,0.527899
CRB2,0.527864
FREM3,0.527630
SEPSECS,0.527552
CEP83,0.527124
METTL8,0.526372
CSTPP1,0.526275
MFHAS1,0.526119
CFDP1,0.526113
NACA2,0.526108
ATG2B,0.525966
BCAT1,0.525770
IL1RL2,0.525743
RTEL1,0.525588
ZHX2,0.525507
RNF144A,0.525332
ADARB2,0.524535
NR4A3,0.524417
CPXM2,0.524310
RNF114,0.523801
TMTC1,0.523756
ZMYND8,0.523678
RFC3,0.523553
TAB2,0.523470
PMAIP1,0.523351
SCHIP1,0.523143
ZEB1,0.523128
CALHM6,0.523015
HEXIM1,0.522937
PTPRR,0.522760
C1GALT1,0.522760
MARCHF11,0.522760
KL,0.522760
PDE1A,0.522760
NECTIN3,0.522760
C1orf21,0.522760
LMOD3,0.522560
RFESD,0.522464
SEMA5B,0.522097
PREP,0.522063
AADAC,0.522032
PEX13,0.521967
NCOA5,0.521886
CCDC93,0.521787
C12orf75,0.521683
IL7,0.521331
ZNF804B,0.521297
TMEM178B,0.521064
SPRY4,0.520981
FAR2,0.520950
SPRY2,0.520804
TMEM164,0.520777
PER3,0.520766
BASP1,0.520748
AHR,0.520660
PFKFB3,0.520478
ALG10B,0.520354
RHBG,0.520251
IFT81,0.520153
TENT4A,0.520077
TRPC6,0.520021
PAPPA2,0.520018
PRKAR1B,0.519987
