gene,rest_coef_beta,rest_se_beta,rest_signed_log10p,stim8hr_coef_beta,stim8hr_se_beta,stim8hr_signed_log10p,stim48hr_coef_beta,stim48hr_se_beta,stim48hr_signed_log10p
DIP2C,0.0046042655742988,0.0095488007668572,0.2008759815123669,-0.0072927715469312,0.0094982161579038,-0.3539689922300846,-0.0068053425625301,0.0095552004259193,-0.3220757247286793
DIPK1A,0.0026071200666984,0.0095506023637244,0.1052000237224986,0.0260338775143067,0.0094942780287361,2.2135731391412823,0.0030925428099284,0.009555987899154,0.1271277058895485
DIPK2A,-0.0009856634417306,0.0095506658010015,-0.0372504027475963,0.004781773698217,0.0094968965664218,0.2113957775485506,0.0009592417851085,0.0095567985134547,0.0361884335808017
DIS3,-0.0123037026996418,0.0095483832365582,-0.7042631439991196,-0.0009171340743736,0.0094988758239002,-0.0347587497694701,-0.0108463720959909,0.0095549147495312,-0.5911959357708594
DIS3L,0.0018021731068218,0.0095493939779734,0.0704202278384274,0.0031108478164273,0.0095052273211013,0.1287399423541644,0.0071013657766498,0.0095556358850879,0.3397029240847942
DIS3L2,-0.0028309658745633,0.0095488545763773,-0.115275137951819,-0.0073375767065659,0.0094965924008027,-0.3568000336700541,-0.0001183427168628,0.0095579775655153,-0.0043115435135256
DISC1,-0.0057732447852082,0.0095488305740058,-0.2632403225162719,0.0148984034325762,0.0094963984576371,0.9328834659128724,0.0040870827739556,0.0095552542314034,0.1746679265618299
DISP3,-0.0128420165553127,0.0095476473147811,-0.7480242175790546,-0.0122104886359464,0.0094957664500665,-0.7022188480394022,-0.0060615953730777,0.0095559294888467,-0.2791132986379758
DIXDC1,-0.0036007162447882,0.0095491218069826,-0.1511173553644498,-0.0141878207017645,0.0094953760868492,-0.8691620499533563,0.000635855873247,0.0095558299459222,0.0236737642176571
DKC1,-0.004160484267784,0.0095529386502981,-0.1783590350555481,-0.0211730254383405,0.0095025193534786,-1.586854407953955,-0.0173554928386512,0.0095533399346655,-1.1593192196146491
DLAT,0.0076561716545225,0.0095499861773432,0.3739192032503849,-0.0103302103348909,0.0094970773569594,-0.5579275121246577,-0.0009258773211089,0.0095559504686821,-0.0348851498061782
DLD,-0.0051174626615493,0.0095491081283916,-0.2276550096590353,-0.0025304364356033,0.0094966204353953,-0.1024319262833872,-0.0083908094332385,0.0095585378785042,-0.4201555181646345
DLG1,0.0162501447248919,0.0095477301377493,1.051656253849635,0.0139243010429547,0.0094953821296526,0.8460016822900829,0.0042774106129662,0.0095553106548753,0.1841457008832317
DLG3,0.0042786548486354,0.0095509809253949,0.1843053274584067,0.0105817951345409,0.0094963828123809,0.576465740225963,0.0089644494906305,0.0095565168573993,0.4581190597509115
DLG4,-0.0060164724011799,0.0095539361812069,-0.2766432003834486,-0.0017849114522782,0.0095018471819336,-0.0700711620467933,-0.0037833179719145,0.0095601927004175,-0.1597011789868859
DLG5,-0.0141083564142277,0.0095496934435157,-0.8550908892012118,-0.0104020965440781,0.0094984780996274,-0.5630705509071252,0.0020025868307939,0.0095552354517341,0.0788342709504015
DLGAP4,0.0277541053561392,0.0095460318799149,2.4374821061249508,0.0311678761471582,0.0094918414899529,2.988034437902847,0.0097308024304132,0.0095559781995812,0.5106594803542636
DLGAP5,0.0041050423188166,0.0095615015199553,0.1754242164298518,-0.0048129126388476,0.009500699022148,-0.2129250025442717,0.0029600777965226,0.009555671276508,0.1210530627677819
DLK2,0.0012841280824474,0.0095502813332255,0.0491283282704938,-0.0047533261554934,0.0094962740859029,-0.2099257597606187,0.014135012245419,0.009555082283118,0.8567221587492974
DLL3,-0.0068182881258031,0.0095488907100108,-0.3231071776814989,-0.023191226764617,0.0094934062655285,-1.836053061544685,-0.007711059766737,0.0095545820913308,-0.3771093369889796
DLST,-0.0006801222490467,0.0095518033770075,-0.0253791373533536,-0.0041953814543951,0.0094962261737714,-0.1813475733233661,0.0034691099859921,0.009554793821436,0.1447500520448146
DMAC1,-0.0048665221346953,0.0095494712078941,-0.2144325010637867,0.0083513196409162,0.0094967025421057,0.4211221612084687,0.0031869089119089,0.0095562333702484,0.1314902562227193
DMAC2,-0.0026192324392052,0.0095489784519155,-0.1057595443961722,0.0064457912305865,0.0094963558984734,0.3033804177828844,0.0112930694862147,0.0095547439733055,0.6247789042207096
DMAC2L,0.0068805436305369,0.0095486565138316,0.3268083048145894,-0.0023324509205596,0.0094979646994131,-0.0936559066119566,0.0103328787056433,0.0095547850685082,0.5535750914682301
DMC1,-0.0033665108900246,0.0095493910874915,-0.1399959902617439,-0.0048998475566202,0.0094964537816282,-0.2176072620111236,-0.0040840614647188,0.0095560414975723,-0.1745018113659911
DMD,-0.0187653933787619,0.0095473609124733,-1.306438237935867,-0.012200762205733,0.0094959600082265,-0.7014168811277577,0.0056870465856773,0.0095552219363327,0.2582673304184382
DMRT2,-0.0173569731363365,0.009548536875975,-1.1603458928156565,-0.0077776126043935,0.0094998540017415,-0.38408101608413,-0.0089952073078041,0.0095552178203274,-0.4602655471608504
DMTF1,-0.0028123236584211,0.009554626773757,-0.1143546806537929,-0.0041148935415439,0.0094981080668532,-0.1772736790987751,0.0119317941026187,0.0095558891113849,0.6740197555012541
DMTN,0.0127528647657926,0.0095513092019986,0.7403095810003586,0.0081053549284508,0.0094959112317286,0.4052031568005692,0.0123111298192327,0.0095547616197502,0.7041997654445635
DMWD,-0.0152380371832435,0.0095477597838697,-0.956549980679743,-0.0168559812851942,0.009496444970176,-1.1195908820343232,-0.0009123847029826,0.0095555882987744,-0.0343590900474045
DMXL1,-0.0197944524910739,0.0095481346933285,-1.418113426495593,-0.0097685253795673,0.0095003720896371,-0.5173172875545897,-0.0122726634705173,0.0095570655026114,-0.7008884470947132
DMXL2,-0.0072647819731112,0.00954857189055,-0.3499074529880608,-0.0079642690441272,0.0094963158577156,-0.3961271800995525,0.0029997916820916,0.0095567974763888,0.1228533760882451
DNA2,0.0095477421682004,0.0095525564653642,0.4981512668049112,-0.00700115840318,0.00950084790991,-0.3361107188544479,0.0086358598404741,0.0095558348708835,0.4363283823339603
DNAAF10,0.0075796721211961,0.0095492404427186,0.36920547313657,0.0019326343126531,0.0094963924888489,0.07637353789211,-0.0005814288974812,0.0095552155765656,-0.0216002039520623
