gene	gene_id	pu_score	lof.oe_ci.upper	mis.z_score	IEI	gwas_score	rest_coef_beta	rest_se_beta	rest_signed_log10p	stim8hr_coef_beta	stim8hr_se_beta	stim8hr_signed_log10p	stim48hr_coef_beta	stim48hr_se_beta	stim48hr_signed_log10p	polarization_score
ACSS2	ENSG00000131069	0.043868	0.796770	2.161100	0	0.000000	-0.001634	0.009555	-0.063360	0.015918	0.009496	1.028220	-0.002256	0.009556	-0.089732	-21.346681
ACSS3	ENSG00000111058	0.697925	0.936380	0.762100	0	0.142037										
ACTA1	ENSG00000143632	0.923801	0.974720	6.632400	0	0.065258										
ACTA2	ENSG00000107796	0.865468	0.491820	5.018600	0	0.823945	-0.005118	0.009551	-0.227666	-0.007096	0.009496	-0.342053	0.005792	0.009556	0.264044	
ACTB	ENSG00000075624	0.969043	0.206180	8.781100	1	0.331713										17.714821
ACTBL2	ENSG00000169067	0.012026	1.706000	-0.731530	0	0.000000										
ACTC1	ENSG00000159251	0.924504	0.536100	7.152300	0	0.064743										
ACTG1	ENSG00000184009	0.077203	0.638460	5.495300	0	0.000000	-0.005694	0.009552	-0.258721	0.000986	0.009497	0.037482	-0.008584	0.009557	-0.432871	
ACTG2	ENSG00000163017	0.048480	0.646490	4.868500	0	0.000000										
ACTL10	ENSG00000288649	0.013368		-1.207100	0	0.000000										
ACTL6A	ENSG00000136518	0.068719	0.177520	4.494600	0	0.000000	0.002566	0.009555	0.103319	-0.012300	0.009496	-0.709346	-0.011824	0.009554	-0.665718	
ACTL6B	ENSG00000077080	0.908825	0.964250	3.962100	0	0.058714										
ACTL7A	ENSG00000187003	0.014318	1.230300	0.103840	0	0.000000										
ACTL7B	ENSG00000148156	0.018029	1.251800	-0.446860	0	0.000000										
ACTL8	ENSG00000117148	0.884148	0.831950	2.138200	0	0.341028										
