rank	gene	gene_id	pu_score	label_all	label_immune	label_status	family	gwas_present	perturbseq_measured	polarization_measured	oob_models
217	IL36RN	ENSG00000136695	0.931321	0	0	unlabeled	HGNC:601	1	0	0	99
218	INTS4	ENSG00000149262	0.931252	0	0	unlabeled	HGNC:1366	1	0	0	98
219	LRP1B	ENSG00000168702	0.931196	0	0	unlabeled	HGNC:634	1	0	0	99
220	NFATC1	ENSG00000131196	0.931188	0	0	unlabeled	HGNC:665	1	1	0	97
221	PCSK2	ENSG00000125851	0.931141	0	0	unlabeled	HGNC:973	1	0	0	97
222	LAMTOR2	ENSG00000116586	0.931116	0	0	unlabeled	HGNC:1040	1	1	1	98
223	EPHB4	ENSG00000196411	0.930886	1	1	positive	HGNC:760	1	0	0	0
224	IL1RN	ENSG00000136689	0.930835	0	0	unlabeled	HGNC:601	1	1	0	95
225	GRIK2	ENSG00000164418	0.930778	1	1	positive	HGNC:1199	1	0	0	0
226	PTK2	ENSG00000169398	0.930670	0	0	unlabeled	HGNC:694	1	0	0	97
227	PLAGL2	ENSG00000126003	0.930631	0	0	unlabeled	HGNC:28	1	0	0	95
228	CORO2B	ENSG00000103647	0.930542	0	0	unlabeled	HGNC:362	1	0	0	97
229	CASP10	ENSG00000003400	0.930460	0	0	unlabeled	HGNC:468	1	1	0	99
230	CEBPE	ENSG00000092067	0.930236	0	0	unlabeled	HGNC:1165	1	0	0	99
231	GTF2IRD1	ENSG00000006704	0.930232	0	0	unlabeled	PFX:GTF	1	1	1	98
232	GABRB3	ENSG00000166206	0.930056	1	1	positive	HGNC:563	1	0	0	0
233	TCERG1	ENSG00000113649	0.930054	0	0	unlabeled	PFX:TCE	1	0	0	95
234	NRXN3	ENSG00000021645	0.930015	0	0	unlabeled	HGNC:1582	1	0	0	97
235	TBK1	ENSG00000183735	0.929772	0	0	unlabeled	HGNC:1802	1	1	0	98
236	KCNF1	ENSG00000162975	0.929720	1	1	positive	HGNC:274	1	0	0	0
237	CAMK2D	ENSG00000145349	0.929670	0	0	unlabeled	HGNC:3539	1	1	0	98
238	OSTM1	ENSG00000081087	0.929592	0	0	unlabeled	PFX:OST	1	1	0	98
239	TRPC3	ENSG00000138741	0.929584	0	0	unlabeled	HGNC:249	1	0	0	97
240	PRF1	ENSG00000180644	0.929532	0	0	unlabeled	HGNC:823	1	1	1	99
241	HAVCR2	ENSG00000135077	0.929359	1	1	positive	HGNC:590	1	1	0	0
242	PARN	ENSG00000140694	0.929286	0	0	unlabeled	HGNC:1729	1	1	0	100
243	FBH1	ENSG00000134452	0.929136	0	0	unlabeled	HGNC:560	1	1	0	99
244	GRM4	ENSG00000124493	0.929065	0	0	unlabeled	HGNC:281	1	0	0	98
245	DDR2	ENSG00000162733	0.928857	1	1	positive	HGNC:3855	1	0	0	0
246	SPDYE21	ENSG00000230358	0.928789	0	0	unlabeled	HGNC:756	1	0	0	99
247	ANKRD36	ENSG00000135976	0.928717	0	0	unlabeled	HGNC:3601	1	1	0	97
248	RAD54L2	ENSG00000164080	0.928593	0	0	unlabeled	HGNC:1190	1	1	1	98
249	SRPRA	ENSG00000182934	0.928511	0	0	unlabeled	HGNC:3572	1	1	0	99
250	GTF2IRD2	ENSG00000196275	0.928459	0	0	unlabeled	HGNC:64	1	0	0	97
251	EED	ENSG00000074266	0.928440	0	0	unlabeled	HGNC:362	1	1	0	99
252	TUBA3C	ENSG00000198033	0.928317	1	1	positive	HGNC:3660	1	0	0	0
253	RELA	ENSG00000173039	0.928276	0	0	unlabeled	HGNC:1254	1	1	1	99
254	CARD14	ENSG00000141527	0.928138	0	0	unlabeled	HGNC:904	1	0	0	99
255	THOC1	ENSG00000079134	0.927937	0	0	unlabeled	HGNC:770	1	0	0	98
256	CTAGE9	ENSG00000236761	0.927926	0	0	unlabeled	HGNC:907	1	0	0	98
257	STAT2	ENSG00000170581	0.927777	0	0	unlabeled	HGNC:741	1	1	1	98
258	ICAM5	ENSG00000105376	0.927751	0	0	unlabeled	HGNC:594	1	0	0	96
259	TUBB8	ENSG00000261456	0.927640	1	1	positive	HGNC:3661	1	0	0	0
260	CCBE1	ENSG00000183287	0.927586	0	0	unlabeled	PFX:CCB	1	0	0	97
