symbol	gene_group	gene_group_id
OR4K15	Olfactory receptors, family 4	151
OR4K16P	Olfactory receptors, family 4	151
OR4K17	Olfactory receptors, family 4	151
OR4L1	Olfactory receptors, family 4	151
OR4M1	Olfactory receptors, family 4	151
OR4M2	Olfactory receptors, family 4	151
OR4M2-OT1	Overlapping transcripts	1988
OR4M2B	Olfactory receptors, family 4	151
OR4N1P	Olfactory receptors, family 4	151
OR4N2	Olfactory receptors, family 4	151
OR4N3BP	Olfactory receptors, family 4	151
OR4N3P	Olfactory receptors, family 4	151
OR4N4	Olfactory receptors, family 4	151
OR4N4C	Olfactory receptors, family 4	151
OR4N5	Olfactory receptors, family 4	151
OR4P1P	Olfactory receptors, family 4	151
OR4P4	Olfactory receptors, family 4	151
OR4Q1P	Olfactory receptors, family 4	151
OR4Q2	Olfactory receptors, family 4	151
OR4Q3	Olfactory receptors, family 4	151
OR4R1P	Olfactory receptors, family 4	151
OR4R2P	Olfactory receptors, family 4	151
OR4R3P	Olfactory receptors, family 4	151
OR4S1	Olfactory receptors, family 4	151
OR4S2	Olfactory receptors, family 4	151
OR4T1P	Olfactory receptors, family 4	151
OR4U1P	Olfactory receptors, family 4	151
OR4V1P	Olfactory receptors, family 4	151
OR4W1P	Olfactory receptors, family 4	151
OR4X1	Olfactory receptors, family 4	151
OR4X2	Olfactory receptors, family 4	151
OR4X7P	Olfactory receptors, family 4	151
OR5A1	Olfactory receptors, family 5	152
OR5A2	Olfactory receptors, family 5	152
OR5AC1	Olfactory receptors, family 5	152
OR5AC2	Olfactory receptors, family 5	152
OR5AC4P	Olfactory receptors, family 5	152
OR5AH1P	Olfactory receptors, family 5	152
OR5AK1P	Olfactory receptors, family 5	152
OR5AK2	Olfactory receptors, family 5	152
OR5AK3P	Olfactory receptors, family 5	152
OR5AK4P	Olfactory receptors, family 5	152
OR5AL1	Olfactory receptors, family 5	152
OR5AL2P	Olfactory receptors, family 5	152
OR5AM1P	Olfactory receptors, family 5	152
OR5AN1	Olfactory receptors, family 5	152
OR5AN2P	Olfactory receptors, family 5	152
OR5AO1P	Olfactory receptors, family 5	152
OR5AP1P	Olfactory receptors, family 5	152
OR5AP2	Olfactory receptors, family 5	152
OR5AQ1P	Olfactory receptors, family 5	152
OR5AR1	Olfactory receptors, family 5	152
OR5AS1	Olfactory receptors, family 5	152
OR5AU1	Olfactory receptors, family 5	152
OR5AW1P	Olfactory receptors, family 5	152
OR5AZ1P	Olfactory receptors, family 5	152
OR5B1P	Olfactory receptors, family 5	152
OR5B2	Olfactory receptors, family 5	152
OR5B3	Olfactory receptors, family 5	152
OR5B10P	Olfactory receptors, family 5	152
OR5B12	Olfactory receptors, family 5	152
OR5B15P	Olfactory receptors, family 5	152
OR5B17	Olfactory receptors, family 5	152
OR5B19P	Olfactory receptors, family 5	152
OR5B21	Olfactory receptors, family 5	152
OR5BA1P	Olfactory receptors, family 5	152
OR5BB1P	Olfactory receptors, family 5	152
OR5BC1P	Olfactory receptors, family 5	152
OR5BD1P	Olfactory receptors, family 5	152
OR5BE1P	Olfactory receptors, family 5	152
OR5BH1P	Olfactory receptors, family 5	152
OR5BJ1P	Olfactory receptors, family 5	152
OR5BK1P	Olfactory receptors, family 5	152
OR5BL1P	Olfactory receptors, family 5	152
OR5BM1P	Olfactory receptors, family 5	152
OR5BN1P	Olfactory receptors, family 5	152
OR5BN2P	Olfactory receptors, family 5	152
OR5BP1P	Olfactory receptors, family 5	152
OR5BQ1P	Olfactory receptors, family 5	152
OR5BR1P	Olfactory receptors, family 5	152
OR5BS1	Olfactory receptors, family 5	152
OR5BT1P	Olfactory receptors, family 5	152
OR5C1	Olfactory receptors, family 5	152
OR5D2P	Olfactory receptors, family 5	152
OR5D3	Olfactory receptors, family 5	152
OR5D13	Olfactory receptors, family 5	152
OR5D14	Olfactory receptors, family 5	152
OR5D15P	Olfactory receptors, family 5	152
OR5D16	Olfactory receptors, family 5	152
OR5D17P	Olfactory receptors, family 5	152
OR5D18	Olfactory receptors, family 5	152
OR5E1P	Olfactory receptors, family 5	152
OR5F1	Olfactory receptors, family 5	152
OR5F2P	Olfactory receptors, family 5	152
OR5G1P	Olfactory receptors, family 5	152
OR5G3	Olfactory receptors, family 5	152
OR5G4P	Olfactory receptors, family 5	152
OR5G5P	Olfactory receptors, family 5	152
OR5H1	Olfactory receptors, family 5	152
OR5H2	Olfactory receptors, family 5	152
OR5H3P	Olfactory receptors, family 5	152
OR5H4P	Olfactory receptors, family 5	152
OR5H5P	Olfactory receptors, family 5	152
OR5H6	Olfactory receptors, family 5	152
OR5H7P	Olfactory receptors, family 5	152
OR5H8	Olfactory receptors, family 5	152
OR5H14	Olfactory receptors, family 5	152
OR5H15	Olfactory receptors, family 5	152
OR5I1	Olfactory receptors, family 5	152
OR5J1P	Olfactory receptors, family 5	152
OR5J2	Olfactory receptors, family 5	152
OR5J7P	Olfactory receptors, family 5	152
OR5K1	Olfactory receptors, family 5	152
OR5K2	Olfactory receptors, family 5	152
OR5K3	Olfactory receptors, family 5	152
OR5K4	Olfactory receptors, family 5	152
OR5L1	Olfactory receptors, family 5	152
OR5L2	Olfactory receptors, family 5	152
OR5M1	Olfactory receptors, family 5	152
OR5M2P	Olfactory receptors, family 5	152
OR5M3	Olfactory receptors, family 5	152
OR5M4P	Olfactory receptors, family 5	152
OR5M5P	Olfactory receptors, family 5	152
OR5M6P	Olfactory receptors, family 5	152
OR5M7P	Olfactory receptors, family 5	152
OR5M8	Olfactory receptors, family 5	152
OR5M9	Olfactory receptors, family 5	152
OR5M10	Olfactory receptors, family 5	152
OR5M11	Olfactory receptors, family 5	152
OR5M12P	Olfactory receptors, family 5	152
OR5M13P	Olfactory receptors, family 5	152
OR5M14P	Olfactory receptors, family 5	152
OR5P1P	Olfactory receptors, family 5	152
OR5P2	Olfactory receptors, family 5	152
OR5P3	Olfactory receptors, family 5	152
OR5P4P	Olfactory receptors, family 5	152
OR5S1P	Olfactory receptors, family 5	152
OR5T1	Olfactory receptors, family 5	152
OR5T2	Olfactory receptors, family 5	152
OR5T3	Olfactory receptors, family 5	152
OR5V1	Olfactory receptors, family 5	152
OR5W1P	Olfactory receptors, family 5	152
OR5W2	Olfactory receptors, family 5	152
OR6A2	Olfactory receptors, family 6	153
OR6B1	Olfactory receptors, family 6	153
OR6B2	Olfactory receptors, family 6	153
OR6B3	Olfactory receptors, family 6	153
OR6C1	Olfactory receptors, family 6	153
OR6C2	Olfactory receptors, family 6	153
OR6C3	Olfactory receptors, family 6	153
OR6C4	Olfactory receptors, family 6	153
OR6C5P	Olfactory receptors, family 6	153
OR6C6	Olfactory receptors, family 6	153
OR6C7P	Olfactory receptors, family 6	153
OR6C64P	Olfactory receptors, family 6	153
OR6C65	Olfactory receptors, family 6	153
OR6C66P	Olfactory receptors, family 6	153
OR6C68	Olfactory receptors, family 6	153
OR6C69P	Olfactory receptors, family 6	153
OR6C70	Olfactory receptors, family 6	153
OR6C71P	Olfactory receptors, family 6	153
OR6C72P	Olfactory receptors, family 6	153
OR6C73P	Olfactory receptors, family 6	153
OR6C74	Olfactory receptors, family 6	153
OR6C75	Olfactory receptors, family 6	153
OR6C76	Olfactory receptors, family 6	153
OR6D1P	Olfactory receptors, family 6	153
OR6E1P	Olfactory receptors, family 6	153
OR6F1	Olfactory receptors, family 6	153
OR6J1	Olfactory receptors, family 6	153
OR6K1P	Olfactory receptors, family 6	153
OR6K2	Olfactory receptors, family 6	153
OR6K3	Olfactory receptors, family 6	153
OR6K4P	Olfactory receptors, family 6	153
OR6K5P	Olfactory receptors, family 6	153
OR6K6	Olfactory receptors, family 6	153
OR6L1P	Olfactory receptors, family 6	153
OR6L2P	Olfactory receptors, family 6	153
OR6M1	Olfactory receptors, family 6	153
OR6M2P	Olfactory receptors, family 6	153
OR6M3P	Olfactory receptors, family 6	153
OR6N1	Olfactory receptors, family 6	153
OR6N2	Olfactory receptors, family 6	153
OR6P1	Olfactory receptors, family 6	153
OR6Q1	Olfactory receptors, family 6	153
OR6R1P	Olfactory receptors, family 6	153
OR6R2P	Olfactory receptors, family 6	153
OR6S1	Olfactory receptors, family 6	153
OR6T1	Olfactory receptors, family 6	153
OR6U2P	Olfactory receptors, family 6	153
OR6V1	Olfactory receptors, family 6	153
OR6W1P	Olfactory receptors, family 6	153
OR6X1	Olfactory receptors, family 6	153
OR6Y1	Olfactory receptors, family 6	153
OR7A1P	Olfactory receptors, family 7	154
OR7A2P	Olfactory receptors, family 7	154
OR7A3P	Olfactory receptors, family 7	154
OR7A5	Olfactory receptors, family 7	154
OR7A8P	Olfactory receptors, family 7	154
OR7A10	Olfactory receptors, family 7	154
OR7A11P	Olfactory receptors, family 7	154
OR7A15P	Olfactory receptors, family 7	154
OR7A17	Olfactory receptors, family 7	154
OR7A18P	Olfactory receptors, family 7	154
OR7A19P	Olfactory receptors, family 7	154
OR7C1	Olfactory receptors, family 7	154
OR7C2	Olfactory receptors, family 7	154
OR7D1P	Olfactory receptors, family 7	154
OR7D2	Olfactory receptors, family 7	154
OR7D4	Olfactory receptors, family 7	154
OR7D11P	Olfactory receptors, family 7	154
OR7E1P	Olfactory receptors, family 7	154
OR7E2P	Olfactory receptors, family 7	154
OR7E4P	Olfactory receptors, family 7	154
OR7E5P	Olfactory receptors, family 7	154
OR7E7P	Olfactory receptors, family 7	154
OR7E8P	Olfactory receptors, family 7	154
OR7E10P	Olfactory receptors, family 7	154
OR7E11P	Olfactory receptors, family 7	154
OR7E12P	Olfactory receptors, family 7	154
OR7E13P	Olfactory receptors, family 7	154
OR7E14P	Olfactory receptors, family 7	154
OR7E15P	Olfactory receptors, family 7	154
OR7E16P	Olfactory receptors, family 7	154
OR7E18P	Olfactory receptors, family 7	154
OR7E19P	Olfactory receptors, family 7	154
OR7E21P	Olfactory receptors, family 7	154
OR7E22P	Olfactory receptors, family 7	154
OR7E23P	Olfactory receptors, family 7	154
OR7E24	Olfactory receptors, family 7	154
OR7E25P	Olfactory receptors, family 7	154
OR7E26P	Olfactory receptors, family 7	154
OR7E28P	Olfactory receptors, family 7	154
OR7E29P	Olfactory receptors, family 7	154
OR7E31P	Olfactory receptors, family 7	154
OR7E33P	Olfactory receptors, family 7	154
OR7E35P	Olfactory receptors, family 7	154
OR7E36P	Olfactory receptors, family 7	154
OR7E37P	Olfactory receptors, family 7	154
OR7E38P	Olfactory receptors, family 7	154
OR7E39P	Olfactory receptors, family 7	154
OR7E41P	Olfactory receptors, family 7	154
OR7E43P	Olfactory receptors, family 7	154
OR7E46P	Olfactory receptors, family 7	154
OR7E47P	Olfactory receptors, family 7	154
OR7E53P	Olfactory receptors, family 7	154
OR7E55P	Olfactory receptors, family 7	154
OR7E59P	Olfactory receptors, family 7	154
OR7E62P	Olfactory receptors, family 7	154
OR7E66P	Olfactory receptors, family 7	154
OR7E83P	Olfactory receptors, family 7	154
OR7E84P	Olfactory receptors, family 7	154
OR7E85BP	Olfactory receptors, family 7	154
OR7E85P	Olfactory receptors, family 7	154
OR7E86P	Olfactory receptors, family 7	154
OR7E87P	Olfactory receptors, family 7	154
OR7E89P	Olfactory receptors, family 7	154
OR7E90P	Olfactory receptors, family 7	154
OR7E91P	Olfactory receptors, family 7	154
OR7E93P	Olfactory receptors, family 7	154
OR7E94P	Olfactory receptors, family 7	154
OR7E96P	Olfactory receptors, family 7	154
OR7E97P	Olfactory receptors, family 7	154
OR7E99P	Olfactory receptors, family 7	154
OR7E100P	Olfactory receptors, family 7	154
OR7E101P	Olfactory receptors, family 7	154
OR7E102P	Olfactory receptors, family 7	154
OR7E103P	Olfactory receptors, family 7	154
OR7E104P	Olfactory receptors, family 7	154
OR7E105P	Olfactory receptors, family 7	154
OR7E106P	Olfactory receptors, family 7	154
OR7E108P	Olfactory receptors, family 7	154
OR7E109P	Olfactory receptors, family 7	154
OR7E110P	Olfactory receptors, family 7	154
OR7E111FP	Olfactory receptors, family 7	154
OR7E111P	Olfactory receptors, family 7	154
OR7E115P	Olfactory receptors, family 7	154
OR7E116P	Olfactory receptors, family 7	154
OR7E117P	Olfactory receptors, family 7	154
OR7E121P	Olfactory receptors, family 7	154
OR7E122P	Olfactory receptors, family 7	154
OR7E125P	Olfactory receptors, family 7	154
OR7E126P	Olfactory receptors, family 7	154
OR7E128P	Olfactory receptors, family 7	154
OR7E129P	Olfactory receptors, family 7	154
OR7E130P	Olfactory receptors, family 7	154
OR7E136P	Olfactory receptors, family 7	154
OR7E140P	Olfactory receptors, family 7	154
OR7E145P	Olfactory receptors, family 7	154
OR7E148P	Olfactory receptors, family 7	154
OR7E149P	Olfactory receptors, family 7	154
OR7E154P	Olfactory receptors, family 7	154
OR7E155P	Olfactory receptors, family 7	154
OR7E156P	Olfactory receptors, family 7	154
OR7E157P	Olfactory receptors, family 7	154
OR7E158P	Olfactory receptors, family 7	154
OR7E159P	Olfactory receptors, family 7	154
OR7E160P	Olfactory receptors, family 7	154
OR7E161P	Olfactory receptors, family 7	154
OR7E162P	Olfactory receptors, family 7	154
OR7E163P	Olfactory receptors, family 7	154
OR7G1	Olfactory receptors, family 7	154
OR7G2	Olfactory receptors, family 7	154
OR7G3	Olfactory receptors, family 7	154
OR7G15P	Olfactory receptors, family 7	154
OR7H1P	Olfactory receptors, family 7	154
OR7H2P	Olfactory receptors, family 7	154
OR7K1P	Olfactory receptors, family 7	154
OR7L1P	Olfactory receptors, family 7	154
OR7M1P	Olfactory receptors, family 7	154
OR8A1	Olfactory receptors, family 8	155
OR8A2P	Olfactory receptors, family 8	155
OR8A3P	Olfactory receptors, family 8	155
OR8B1P	Olfactory receptors, family 8	155
OR8B2	Olfactory receptors, family 8	155
OR8B3	Olfactory receptors, family 8	155
OR8B4	Olfactory receptors, family 8	155
OR8B5P	Olfactory receptors, family 8	155
OR8B6P	Olfactory receptors, family 8	155
OR8B7P	Olfactory receptors, family 8	155
OR8B8	Olfactory receptors, family 8	155
OR8B9P	Olfactory receptors, family 8	155
OR8B10P	Olfactory receptors, family 8	155
OR8B12	Olfactory receptors, family 8	155
OR8C1P	Olfactory receptors, family 8	155
OR8D1	Olfactory receptors, family 8	155
OR8D2	Olfactory receptors, family 8	155
OR8D4	Olfactory receptors, family 8	155
OR8F1P	Olfactory receptors, family 8	155
OR8G1	Olfactory receptors, family 8	155
OR8G2P	Olfactory receptors, family 8	155
OR8G3	Olfactory receptors, family 8	155
OR8G5	Olfactory receptors, family 8	155
OR8G7P	Olfactory receptors, family 8	155
OR8H1	Olfactory receptors, family 8	155
OR8H2	Olfactory receptors, family 8	155
OR8H3	Olfactory receptors, family 8	155
OR8I1P	Olfactory receptors, family 8	155
OR8I2	Olfactory receptors, family 8	155
OR8I4P	Olfactory receptors, family 8	155
OR8J1	Olfactory receptors, family 8	155
OR8J2	Olfactory receptors, family 8	155
OR8J3	Olfactory receptors, family 8	155
OR8K1	Olfactory receptors, family 8	155
OR8K2P	Olfactory receptors, family 8	155
OR8K3	Olfactory receptors, family 8	155
OR8K4P	Olfactory receptors, family 8	155
OR8K5	Olfactory receptors, family 8	155
OR8L1P	Olfactory receptors, family 8	155
OR8Q1P	Olfactory receptors, family 8	155
OR8R1P	Olfactory receptors, family 8	155
OR8S1	Olfactory receptors, family 8	155
OR8S21P	Olfactory receptors, family 8	155
OR8T1P	Olfactory receptors, family 8	155
OR8U1	Olfactory receptors, family 8	155
OR8U3	Olfactory receptors, family 8	155
OR8U8	Olfactory receptors, family 8	155
OR8U9	Olfactory receptors, family 8	155
OR8V1P	Olfactory receptors, family 8	155
OR8X1P	Olfactory receptors, family 8	155
OR9A1P	Olfactory receptors, family 9	156
OR9A2	Olfactory receptors, family 9	156
OR9A3P	Olfactory receptors, family 9	156
OR9A4	Olfactory receptors, family 9	156
OR9G1	Olfactory receptors, family 9	156
OR9G2P	Olfactory receptors, family 9	156
OR9G3P	Olfactory receptors, family 9	156
OR9G4	Olfactory receptors, family 9	156
OR9G9	Olfactory receptors, family 9	156
OR9H1	Olfactory receptors, family 9	156
OR9I1	Olfactory receptors, family 9	156
OR9I2P	Olfactory receptors, family 9	156
OR9I3P	Olfactory receptors, family 9	156
OR9K1P	Olfactory receptors, family 9|Unitary pseudogenes	156|3418
OR9K2	Olfactory receptors, family 9	156
OR9L1P	Olfactory receptors, family 9	156
OR9M1P	Olfactory receptors, family 9	156
OR9N1P	Olfactory receptors, family 9	156
OR9P1P	Olfactory receptors, family 9	156
OR9Q1	Olfactory receptors, family 9	156
OR9Q2	Olfactory receptors, family 9	156
OR9R1P	Olfactory receptors, family 9	156
OR9S24P	Olfactory receptors, family 9	156
OR10A2	Olfactory receptors, family 10	157
OR10A3	Olfactory receptors, family 10	157
OR10A4	Olfactory receptors, family 10	157
OR10A5	Olfactory receptors, family 10	157
OR10A6	Olfactory receptors, family 10	157
OR10A7	Olfactory receptors, family 10	157
OR10AA1P	Olfactory receptors, family 10	157
OR10AB1P	Olfactory receptors, family 10	157
OR10AC1	Olfactory receptors, family 10	157
OR10AD1	Olfactory receptors, family 10	157
OR10AE1P	Olfactory receptors, family 10	157
OR10AE3P	Olfactory receptors, family 10	157
OR10AF1P	Olfactory receptors, family 10	157
OR10AG1	Olfactory receptors, family 10	157
OR10AH1P	Olfactory receptors, family 10	157
OR10AK1P	Olfactory receptors, family 10	157
OR10B1P	Olfactory receptors, family 10	157
OR10C1	Olfactory receptors, family 10	157
OR10D1P	Olfactory receptors, family 10	157
OR10D3	Olfactory receptors, family 10	157
OR10D4P	Olfactory receptors, family 10	157
OR10D5P	Olfactory receptors, family 10	157
OR10G1P	Olfactory receptors, family 10	157
OR10G2	Olfactory receptors, family 10	157
OR10G3	Olfactory receptors, family 10	157
OR10G4	Olfactory receptors, family 10	157
OR10G5P	Olfactory receptors, family 10	157
OR10G6	Olfactory receptors, family 10	157
OR10G7	Olfactory receptors, family 10	157
OR10G8	Olfactory receptors, family 10	157
OR10G9	Olfactory receptors, family 10	157
OR10H1	Olfactory receptors, family 10	157
OR10H2	Olfactory receptors, family 10	157
OR10H3	Olfactory receptors, family 10	157
OR10H4	Olfactory receptors, family 10	157
OR10H5	Olfactory receptors, family 10	157
OR10J1	Olfactory receptors, family 10	157
OR10J2P	Olfactory receptors, family 10	157
OR10J3	Olfactory receptors, family 10	157
OR10J4	Olfactory receptors, family 10	157
OR10J5	Olfactory receptors, family 10	157
OR10J6P	Olfactory receptors, family 10	157
OR10J7P	Olfactory receptors, family 10	157
OR10J8P	Olfactory receptors, family 10	157
OR10J9P	Olfactory receptors, family 10	157
OR10K1	Olfactory receptors, family 10	157
OR10K2	Olfactory receptors, family 10	157
OR10N1P	Olfactory receptors, family 10	157
OR10P1	Olfactory receptors, family 10	157
OR10Q1	Olfactory receptors, family 10	157
OR10Q2P	Olfactory receptors, family 10	157
OR10R1P	Olfactory receptors, family 10	157
OR10R2	Olfactory receptors, family 10	157
OR10R3P	Olfactory receptors, family 10	157
OR10S1	Olfactory receptors, family 10	157
OR10T1P	Olfactory receptors, family 10	157
OR10T2	Olfactory receptors, family 10	157
OR10U1P	Olfactory receptors, family 10	157
OR10V1	Olfactory receptors, family 10	157
OR10V2P	Olfactory receptors, family 10	157
OR10V3P	Olfactory receptors, family 10	157
OR10V7P	Olfactory receptors, family 10	157
OR10W1	Olfactory receptors, family 10	157
OR10X1	Olfactory receptors, family 10	157
OR10Y1P	Olfactory receptors, family 10	157
OR10Z1	Olfactory receptors, family 10	157
OR11A1	Olfactory receptors, family 11	159
OR11G1P	Olfactory receptors, family 11	159
OR11G2	Olfactory receptors, family 11	159
OR11H1	Olfactory receptors, family 11	159
OR11H2	Olfactory receptors, family 11	159
OR11H3P	Olfactory receptors, family 11	159
OR11H4	Olfactory receptors, family 11	159
OR11H5P	Olfactory receptors, family 11	159
OR11H6	Olfactory receptors, family 11	159
OR11H7	Olfactory receptors, family 11	159
OR11H12	Olfactory receptors, family 11	159
OR11H13P	Olfactory receptors, family 11	159
OR11I1P	Olfactory receptors, family 11|Unitary pseudogenes	159|3418
OR11J1P	Olfactory receptors, family 11	159
OR11J2P	Olfactory receptors, family 11	159
OR11J5P	Olfactory receptors, family 11	159
OR11J6P	Olfactory receptors, family 11	159
OR11J7P	Olfactory receptors, family 11	159
OR11K1BP	Olfactory receptors, family 11	159
OR11K1P	Olfactory receptors, family 11	159
OR11K2P	Olfactory receptors, family 11	159
OR11L1	Olfactory receptors, family 11	159
OR11M1P	Olfactory receptors, family 11	159
OR11N1P	Olfactory receptors, family 11	159
OR11P1P	Olfactory receptors, family 11	159
OR11Q1P	Olfactory receptors, family 11	159
OR12D1	Olfactory receptors, family 12	160
OR12D2	Olfactory receptors, family 12	160
OR12D3	Olfactory receptors, family 12	160
OR13A1	Olfactory receptors, family 13	162
OR13C1P	Olfactory receptors, family 13	162
OR13C2	Olfactory receptors, family 13	162
OR13C3	Olfactory receptors, family 13	162
OR13C4	Olfactory receptors, family 13	162
OR13C5	Olfactory receptors, family 13	162
OR13C6P	Olfactory receptors, family 13	162
OR13C7	Olfactory receptors, family 13	162
OR13C8	Olfactory receptors, family 13	162
OR13C9	Olfactory receptors, family 13	162
OR13D1	Olfactory receptors, family 13	162
OR13D2P	Olfactory receptors, family 13	162
OR13D3P	Olfactory receptors, family 13	162
OR13E1P	Olfactory receptors, family 13|Unitary pseudogenes	162|3418
OR13F1	Olfactory receptors, family 13	162
OR13G1	Olfactory receptors, family 13	162
OR13H1	Olfactory receptors, family 13	162
OR13I1P	Olfactory receptors, family 13	162
OR13J1	Olfactory receptors, family 13	162
OR13K1P	Olfactory receptors, family 13	162
OR13Z1P	Olfactory receptors, family 13	162
OR13Z2P	Olfactory receptors, family 13	162
OR13Z3P	Olfactory receptors, family 13	162
OR14A2	Olfactory receptors, family 14	163
OR14A16	Olfactory receptors, family 14	163
OR14C36	Olfactory receptors, family 14	163
OR14I1	Olfactory receptors, family 14	163
OR14J1	Olfactory receptors, family 14	163
OR14K1	Olfactory receptors, family 14	163
OR14L1	Olfactory receptors, family 14	163
OR51A1P	Olfactory receptors, family 51	164
OR51A2	Olfactory receptors, family 51	164
OR51A3P	Olfactory receptors, family 51	164
OR51A4	Olfactory receptors, family 51	164
OR51A5P	Olfactory receptors, family 51	164
OR51A6P	Olfactory receptors, family 51	164
OR51A7	Olfactory receptors, family 51	164
OR51A8P	Olfactory receptors, family 51	164
OR51A9P	Olfactory receptors, family 51	164
OR51A10P	Olfactory receptors, family 51|Unitary pseudogenes	164|3418
OR51AB1P	Olfactory receptors, family 51	164
OR51B2	Olfactory receptors, family 51	164
OR51B3P	Olfactory receptors, family 51	164
OR51B4	Olfactory receptors, family 51	164
OR51B5	Olfactory receptors, family 51	164
OR51B6	Olfactory receptors, family 51	164
OR51B8P	Olfactory receptors, family 51	164
OR51C1	Olfactory receptors, family 51	164
OR51C4P	Olfactory receptors, family 51	164
OR51D1	Olfactory receptors, family 51	164
OR51E1	Olfactory receptors, family 51	164
OR51E2	Olfactory receptors, family 51	164
OR51F1	Olfactory receptors, family 51	164
OR51F2	Olfactory receptors, family 51	164
OR51F3P	Olfactory receptors, family 51	164
OR51F4P	Olfactory receptors, family 51	164
OR51F5P	Olfactory receptors, family 51	164
OR51G1	Olfactory receptors, family 51	164
OR51G2	Olfactory receptors, family 51	164
OR51H1	Olfactory receptors, family 51	164
OR51H2P	Olfactory receptors, family 51	164
OR51I1	Olfactory receptors, family 51	164
OR51I2	Olfactory receptors, family 51	164
OR51J1	Olfactory receptors, family 51	164
OR51K1P	Olfactory receptors, family 51	164
OR51L1	Olfactory receptors, family 51	164
OR51M1	Olfactory receptors, family 51	164
OR51N1P	Olfactory receptors, family 51	164
OR51P1P	Olfactory receptors, family 51	164
OR51Q1	Olfactory receptors, family 51	164
OR51R1P	Olfactory receptors, family 51|Unitary pseudogenes	164|3418
OR51S1	Olfactory receptors, family 51	164
OR51T1	Olfactory receptors, family 51	164
OR51V1	Olfactory receptors, family 51	164
OR52A1	Olfactory receptors, family 52	165
OR52A4P	Olfactory receptors, family 52	165
OR52A5	Olfactory receptors, family 52	165
OR52B1P	Olfactory receptors, family 52	165
OR52B2	Olfactory receptors, family 52	165
OR52B3P	Olfactory receptors, family 52|Unitary pseudogenes	165|3418
OR52B4	Olfactory receptors, family 52	165
OR52B5P	Olfactory receptors, family 52	165
OR52B6	Olfactory receptors, family 52	165
OR52D1	Olfactory receptors, family 52	165
OR52E1	Olfactory receptors, family 52	165
OR52E2	Olfactory receptors, family 52	165
OR52E3P	Olfactory receptors, family 52	165
OR52E4	Olfactory receptors, family 52	165
OR52E5	Olfactory receptors, family 52	165
OR52E6	Olfactory receptors, family 52	165
OR52E7P	Olfactory receptors, family 52	165
OR52E8	Olfactory receptors, family 52	165
OR52H1	Olfactory receptors, family 52	165
OR52H2P	Olfactory receptors, family 52|Unitary pseudogenes	165|3418
OR52I1	Olfactory receptors, family 52	165
OR52I2	Olfactory receptors, family 52	165
OR52J1P	Olfactory receptors, family 52	165
OR52J2P	Olfactory receptors, family 52	165
OR52J3	Olfactory receptors, family 52	165
OR52K1	Olfactory receptors, family 52	165
OR52K2	Olfactory receptors, family 52	165
OR52K3P	Olfactory receptors, family 52	165
OR52L1	Olfactory receptors, family 52	165
OR52L2P	Olfactory receptors, family 52	165
OR52M1	Olfactory receptors, family 52	165
OR52M2P	Olfactory receptors, family 52	165
OR52N1	Olfactory receptors, family 52	165
OR52N2	Olfactory receptors, family 52	165
OR52N3P	Olfactory receptors, family 52	165
OR52N4	Olfactory receptors, family 52	165
OR52N5	Olfactory receptors, family 52	165
OR52P1	Olfactory receptors, family 52	165
OR52P2P	Olfactory receptors, family 52|Unitary pseudogenes	165|3418
OR52Q1P	Olfactory receptors, family 52	165
OR52R1	Olfactory receptors, family 52	165
OR52S1P	Olfactory receptors, family 52	165
OR52T1P	Olfactory receptors, family 52	165
OR52U1P	Olfactory receptors, family 52	165
OR52V1P	Olfactory receptors, family 52	165
OR52W1	Olfactory receptors, family 52	165
OR52X1P	Olfactory receptors, family 52|Unitary pseudogenes	165|3418
OR52Y1P	Olfactory receptors, family 52	165
OR52Z1	Olfactory receptors, family 52	165
OR55B1P	Olfactory receptors, family 55|Unitary pseudogenes	166|3418
OR56A1	Olfactory receptors, family 56	167
OR56A3	Olfactory receptors, family 56	167
OR56A4	Olfactory receptors, family 56	167
OR56A5	Olfactory receptors, family 56	167
OR56A7P	Olfactory receptors, family 56	167
OR56B1	Olfactory receptors, family 56	167
OR56B2	Olfactory receptors, family 56	167
OR56B3P	Olfactory receptors, family 56	167
OR56B4	Olfactory receptors, family 56	167
ORAI1	ORAI calcium release-activated calcium modulators	668
ORAI2	ORAI calcium release-activated calcium modulators	668
ORAI3	ORAI calcium release-activated calcium modulators	668
ORC1	AAA ATPases|Origin recognition complex	413|960
ORC1P1		
ORC2	Origin recognition complex	960
ORC3	Origin recognition complex	960
ORC4	AAA ATPases|Origin recognition complex	413|960
ORC5	Protein phosphatase 1 regulatory subunits|Origin recognition complex	694|960
ORC6	Origin recognition complex	960
ORM1	Lipocalins	631
ORM2	Lipocalins	631
ORMDL1	ORMDL sphingolipid biosynthesis regulators	3605
ORMDL1P1		
ORMDL2	ORMDL sphingolipid biosynthesis regulators	3605
ORMDL3	ORMDL sphingolipid biosynthesis regulators	3605
OS9	MRH domain containing 	1233
OS9-AS1	Antisense RNAs	1987
OSBP	Oxysterol binding proteins|Pleckstrin homology domain containing|MicroRNA protein coding host genes	670|682|1691
OSBP2	Oxysterol binding proteins|Pleckstrin homology domain containing|MicroRNA protein coding host genes	670|682|1691
OSBPL1A	Ankyrin repeat domain containing|Oxysterol binding proteins	403|670
OSBPL2	Oxysterol binding proteins	670
OSBPL3	Oxysterol binding proteins|Pleckstrin homology domain containing	670|682
