symbol	gene_group	gene_group_id
ADAM10	ADAM metallopeptidase domain containing|CD molecules	47|471
ADAM11	ADAM metallopeptidase domain containing	47
ADAM12	ADAM metallopeptidase domain containing	47
ADAM15	ADAM metallopeptidase domain containing	47
ADAM17	ADAM metallopeptidase domain containing|CD molecules	47|471
ADAM18	ADAM metallopeptidase domain containing	47
ADAM19	ADAM metallopeptidase domain containing	47
ADAM20	ADAM metallopeptidase domain containing	47
ADAM20P1		
ADAM20P2		
ADAM20P3		
ADAM21	ADAM metallopeptidase domain containing	47
ADAM21P1		
ADAM22	ADAM metallopeptidase domain containing	47
ADAM23	ADAM metallopeptidase domain containing	47
ADAM24P	ADAM metallopeptidase domain containing|Unitary pseudogenes	47|3418
ADAM28	ADAM metallopeptidase domain containing	47
ADAM29	ADAM metallopeptidase domain containing	47
ADAM30	ADAM metallopeptidase domain containing	47
ADAM32	ADAM metallopeptidase domain containing	47
ADAM33	ADAM metallopeptidase domain containing	47
ADAMDEC1		
ADAMTS1	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS2	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS3	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS3-AS1	Antisense RNAs	1987
ADAMTS3-AS2	Antisense RNAs	1987
ADAMTS3-AS3	Antisense RNAs	1987
ADAMTS4	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS5	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS6	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS6-DT	Divergent transcripts	1990
ADAMTS7	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS7P1		
ADAMTS7P3		
ADAMTS7P4		
ADAMTS7P5		
ADAMTS8	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS9	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS9-AS1	Antisense RNAs	1987
ADAMTS9-AS2	Antisense RNAs	1987
ADAMTS10	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS10-AS1	Antisense RNAs	1987
ADAMTS12	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS13	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS14	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS15	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS16	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS16-AS1	Antisense RNAs	1987
ADAMTS16-DT	Divergent transcripts	1990
ADAMTS17	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS17-AS1	Antisense RNAs	1987
ADAMTS18	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS19	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTS19-AS1	Antisense RNAs	1987
ADAMTS20	ADAM metallopeptidases with thrombospondin type 1 motif	50
ADAMTSL1	I-set domain containing|ADAMTS like|MicroRNA protein coding host genes	593|947|1691
ADAMTSL2	ADAMTS like	947
ADAMTSL3	I-set domain containing|Immunoglobulin like domain containing|ADAMTS like	593|594|947
ADAMTSL4	ADAMTS like|MicroRNA protein coding host genes	947|1691
ADAMTSL4-AS1	Antisense RNAs	1987
ADAMTSL4-AS2	Antisense RNAs	1987
ADAMTSL5	ADAMTS like	947
ADAP1	ArfGAPs|Pleckstrin homology domain containing	395|682
ADAP2	ArfGAPs|Pleckstrin homology domain containing	395|682
ADAR	Adenosine deaminases acting on RNA	1303
ADARB1	Adenosine deaminases acting on RNA	1303
ADARB2	Adenosine deaminases acting on RNA	1303
ADARB2-AS1	Antisense RNAs	1987
ADAT1	Adenosine deaminases acting on RNA	1303
ADAT2	Adenosine deaminases acting on RNA	1303
ADAT3	Adenosine deaminases acting on RNA	1303
ADCK1	ADCK family	3628
ADCK2	ADCK family	3628
ADCK5	ADCK family	3628
ADCP1		
ADCY1	Adenylate cyclases	53
ADCY2	Adenylate cyclases	53
ADCY2-AS1	Antisense RNAs	1987
ADCY2-AS2	Antisense RNAs	1987
ADCY3	Adenylate cyclases	53
ADCY4	Adenylate cyclases	53
ADCY5	Adenylate cyclases	53
ADCY6	Adenylate cyclases|MicroRNA protein coding host genes	53|1691
ADCY6-DT	Divergent transcripts	1990
ADCY7	Adenylate cyclases|MicroRNA protein coding host genes	53|1691
ADCY8	Adenylate cyclases	53
ADCY9	Adenylate cyclases	53
ADCY10	Adenylate cyclases	53
ADCY10P1		
ADCYAP1	Neuropeptides	1902
ADCYAP1R1	Vasoactive intestinal peptide family receptors 	264
ADD1	Adducin family	2050
ADD1-DT	Divergent transcripts	1990
ADD2	Adducin family	2050
ADD2-AS1	Antisense RNAs	1987
ADD3	Adducin family	2050
ADD3-AS1	Antisense RNAs	1987
ADGB	Calpains	975
ADGB-DT	Divergent transcripts	1990
ADGRA1	Adhesion G protein-coupled receptors, subfamily A	911
ADGRA1-AS1	Antisense RNAs	1987
ADGRA2	Immunoglobulin like domain containing|Adhesion G protein-coupled receptors, subfamily A	594|911
ADGRA3	I-set domain containing|Adhesion G protein-coupled receptors, subfamily A	593|911
ADGRA3P1		
ADGRB1	Adhesion G protein-coupled receptors, subfamily B	912
ADGRB2	Adhesion G protein-coupled receptors, subfamily B|MicroRNA protein coding host genes	912|1691
ADGRB3	Adhesion G protein-coupled receptors, subfamily B	912
ADGRB3-DT	Divergent transcripts	1990
ADGRD1	Adhesion G protein-coupled receptors, subfamily D	914
ADGRD1-AS1	Antisense RNAs	1987
ADGRD1-AS2	Antisense RNAs	1987
ADGRD2	Adhesion G protein-coupled receptors, subfamily D	914
ADGRE1	Adhesion G protein-coupled receptors, subfamily E	915
ADGRE2	CD molecules|Adhesion G protein-coupled receptors, subfamily E	471|915
ADGRE3	Adhesion G protein-coupled receptors, subfamily E	915
ADGRE4P	Adhesion G protein-coupled receptors, subfamily E|Unitary pseudogenes	915|3418
ADGRE5	CD molecules|Adhesion G protein-coupled receptors, subfamily E	471|915
ADGRF1	Adhesion G protein-coupled receptors, subfamily F	916
ADGRF2P	Adhesion G protein-coupled receptors, subfamily F|Unitary pseudogenes	916|3418
ADGRF3	Adhesion G protein-coupled receptors, subfamily F	916
ADGRF4	Adhesion G protein-coupled receptors, subfamily F	916
ADGRF5	I-set domain containing|Immunoglobulin like domain containing|Adhesion G protein-coupled receptors, subfamily F	593|594|916
ADGRF5-AS1	Antisense RNAs	1987
ADGRF5P1		
ADGRF5P2		
ADGRG1	Adhesion G protein-coupled receptors, subfamily G	917
ADGRG2	Adhesion G protein-coupled receptors, subfamily G	917
ADGRG3	Adhesion G protein-coupled receptors, subfamily G	917
ADGRG4	Adhesion G protein-coupled receptors, subfamily G	917
ADGRG5	Adhesion G protein-coupled receptors, subfamily G	917
ADGRG6	Adhesion G protein-coupled receptors, subfamily G	917
ADGRG7	Adhesion G protein-coupled receptors, subfamily G	917
ADGRL1	Adhesion G protein-coupled receptors, subfamily L|Olfactomedin domain containing 	918|2314
ADGRL1-AS1	Antisense RNAs	1987
ADGRL2	Adhesion G protein-coupled receptors, subfamily L|Olfactomedin domain containing 	918|2314
ADGRL3	Adhesion G protein-coupled receptors, subfamily L|Olfactomedin domain containing 	918|2314
ADGRL3-AS1	Antisense RNAs	1987
ADGRL3-AS2	Antisense RNAs	1987
ADGRL3-AS3	Antisense RNAs	1987
ADGRL4	Adhesion G protein-coupled receptors, subfamily L	918
ADGRV1	Adhesion G protein-coupled receptors, subfamily V|USH2 complex	919|1244
ADGRV1-AS1	Antisense RNAs	1987
ADH1A	Alcohol dehydrogenases	397
ADH1B	Alcohol dehydrogenases	397
ADH1C	Alcohol dehydrogenases	397
ADH4	Alcohol dehydrogenases	397
ADH5	Alcohol dehydrogenases	397
ADH5P2		
ADH5P3		
ADH5P4		
ADH5P5		
ADH6	Alcohol dehydrogenases	397
ADH7	Alcohol dehydrogenases	397
ADHFE1	Alcohol dehydrogenases	397
ADI1	Oxygenases	3876
ADI1P1		
ADI1P2		
ADI1P3		
ADIG		
ADIPINT	Long non-coding RNAs with non-systematic symbols	1992
ADIPOQ	C1q and TNF related	1372
ADIPOQ-AS1	Antisense RNAs	1987
ADIPOR1	Adiponectin receptors|Progestin and adipoQ receptor family	293|930
ADIPOR1P1		
ADIPOR1P2		
ADIPOR2	Adiponectin receptors|Progestin and adipoQ receptor family	293|930
ADIRF		
ADIRF-AS1	Antisense RNAs	1987
ADISSP		
ADISSPP1		
ADISSPP2		
ADK		
ADK-AS1	Antisense RNAs	1987
ADM	Neuropeptides	1902
ADM-DT	Divergent transcripts	1990
ADM2	Neuropeptides	1902
ADM5		
ADNP	Zinc fingers C2H2-type|ZF class homeoboxes and pseudogenes	28|529
ADNP-AS1	Antisense RNAs	1987
ADNP2	Zinc fingers C2H2-type|ZF class homeoboxes and pseudogenes	28|529
ADO	Oxygenases	3876
ADORA1	Adenosine receptors	211
ADORA1-AS1	Antisense RNAs	1987
ADORA1-AS2	Antisense RNAs	1987
ADORA2A	Adenosine receptors	211
ADORA2A-AS1	Antisense RNAs	1987
ADORA2B	Adenosine receptors	211
ADORA2BP1		
