Target (Gene),Drug Name,maxClinicalStage
SCN3A,MEXILETINE HYDROCHLORIDE,APPROVAL
SCN3A,ETHOTOIN,APPROVAL
SCN3A,DRONEDARONE,APPROVAL
SCN3A,MORICIZINE,APPROVAL
SCN3A,PROPAFENONE,APPROVAL
SCN3A,PHENACEMIDE,APPROVAL
SCN3A,LACOSAMIDE,APPROVAL
SCN3A,PRIMIDONE,APPROVAL
SCN3A,HEXYLCAINE,APPROVAL
SCN3A,LIDOCAINE HYDROCHLORIDE,APPROVAL
SCN3A,DRONEDARONE HYDROCHLORIDE,APPROVAL
SCN3A,RILUZOLE,APPROVAL
SCN3A,TOPIRAMATE,APPROVAL
SCN3A,LIDOCAINE,APPROVAL
SCN3A,ORPHENADRINE HYDROCHLORIDE,APPROVAL
SCN3A,ESLICARBAZEPINE,APPROVAL
SCN3A,ZONISAMIDE,APPROVAL
SCN3A,ORPHENADRINE CITRATE,APPROVAL
SCN3A,DISOPYRAMIDE PHOSPHATE,APPROVAL
SCN3A,BENOXINATE,APPROVAL
SCN3A,TOCAINIDE,APPROVAL
SCN3A,PHENYTOIN,APPROVAL
SCN3A,PROPOXYCAINE,APPROVAL
SCN3A,ROPIVACAINE HYDROCHLORIDE,APPROVAL
SCN3A,DISOPYRAMIDE,APPROVAL
SCN3A,CHLOROPROCAINE,APPROVAL
SCN3A,MEPHENYTOIN,APPROVAL
SCN3A,PHENAZOPYRIDINE,APPROVAL
SCN3A,PROCAINAMIDE HYDROCHLORIDE,APPROVAL
SCN3A,PROPAFENONE HYDROCHLORIDE,APPROVAL
SCN3A,ROPIVACAINE,APPROVAL
SCN3A,FOSPHENYTOIN,APPROVAL
SCN3A,ARTICAINE HYDROCHLORIDE,APPROVAL
SCN3A,PROCAINAMIDE,APPROVAL
SCN3A,QUINIDINE,APPROVAL
ACVR2B,DIBOTERMIN ALFA,APPROVAL
PRKAB1,ACADESINE,APPROVAL
SLC6A3,LISDEXAMFETAMINE DIMESYLATE,APPROVAL
SLC6A3,NOMIFENSINE,APPROVAL
SLC6A3,BUPROPION,APPROVAL
SLC6A3,PHENMETRAZINE,APPROVAL
SLC6A3,METHAMPHETAMINE,APPROVAL
SLC6A3,METHYLPHENIDATE,APPROVAL
SLC6A3,PHENDIMETRAZINE TARTRATE,APPROVAL
SLC6A3,DASOTRALINE,APPROVAL
SLC6A3,DEXTROAMPHETAMINE SACCHARATE,APPROVAL
SLC6A3,PHENDIMETRAZINE,APPROVAL
SLC6A3,MAZINDOL,APPROVAL
SLC6A3,SERDEXMETHYLPHENIDATE CHLORIDE,APPROVAL
SLC6A3,DEXMETHYLPHENIDATE HYDROCHLORIDE,APPROVAL
SLC6A3,MODAFINIL,APPROVAL
SLC6A3,DIETHYLPROPION HYDROCHLORIDE,APPROVAL
SLC6A3,LISDEXAMFETAMINE,APPROVAL
SLC6A3,ARMODAFINIL,APPROVAL
SLC6A3,METHAMPHETAMINE HYDROCHLORIDE,APPROVAL
SLC6A3,AMPHETAMINE SULFATE,APPROVAL
SLC6A3,BUPROPION HYDROCHLORIDE,APPROVAL
SLC6A3,METHYLPHENIDATE HYDROCHLORIDE,APPROVAL
SLC6A3,AMPHETAMINE,APPROVAL
SLC6A3,DEXMETHYLPHENIDATE,APPROVAL
SLC6A3,DEXTROAMPHETAMINE,APPROVAL
SLC6A3,DEXTROAMPHETAMINE SULFATE,APPROVAL
SLC6A3,BUPROPION HYDROBROMIDE,APPROVAL
SLC6A3,DIETHYLPROPION,APPROVAL
SLC6A3,SIBUTRAMINE,APPROVAL
NDUFA10,METFORMIN HYDROCHLORIDE,APPROVAL
NDUFA10,METFORMIN,APPROVAL
ROS1,CRIZOTINIB,APPROVAL
ROS1,ENTRECTINIB,APPROVAL
ROS1,REPOTRECTINIB,APPROVAL
AKT2,CAPIVASERTIB,APPROVAL
PTAFR,RUPATADINE,APPROVAL
NDUFAF1,METFORMIN HYDROCHLORIDE,APPROVAL
NDUFAF1,METFORMIN,APPROVAL
EPHB1,VANDETANIB,APPROVAL
TEC,RITLECITINIB,APPROVAL
TEC,RITLECITINIB TOSYLATE,APPROVAL
TRPM8,MENTHOL,APPROVAL
NR3C2,XL550,APPROVAL
NR3C2,FINERENONE,APPROVAL
NR3C2,DESOXYCORTICOSTERONE PIVALATE,APPROVAL
NR3C2,DESOXYCORTICOSTERONE ACETATE,APPROVAL
NR3C2,FLUDROCORTISONE ACETATE,APPROVAL
NR3C2,FELODIPINE,APPROVAL
NR3C2,DROSPIRENONE,APPROVAL
NR3C2,CANRENONE,APPROVAL
NR3C2,VAMOROLONE,APPROVAL
NR3C2,NIMODIPINE,APPROVAL
NR3C2,CANRENOATE POTASSIUM,APPROVAL
NR3C2,EPLERENONE,APPROVAL
NR3C2,SPIRONOLACTONE,APPROVAL
COXFA4,METFORMIN HYDROCHLORIDE,APPROVAL
COXFA4,METFORMIN,APPROVAL
CACNA1I,GABAPENTIN,APPROVAL
CACNA1I,PHLOROGLUCINOL,APPROVAL
CACNA1I,MIBEFRADIL,APPROVAL
CACNA1I,BEPRIDIL,APPROVAL
CACNA1I,PREGABALIN,APPROVAL
CACNA1I,TRIMETHADIONE,APPROVAL
CACNA1I,SULOCTIDIL,APPROVAL
CACNA1I,METHSUXIMIDE,APPROVAL
CACNA1I,PARAMETHADIONE,APPROVAL
CACNA1I,PHENSUXIMIDE,APPROVAL
CACNA1I,ETHOSUXIMIDE,APPROVAL
CACNA1I,TERODILINE,APPROVAL
CACNA1I,GABAPENTIN ENACARBIL,APPROVAL
CD74,REPOTRECTINIB,APPROVAL
GRIN2B,AMANTADINE,APPROVAL
GRIN2B,ACAMPROSATE,APPROVAL
GRIN2B,ACAMPROSATE CALCIUM,APPROVAL
GRIN2B,ESKETAMINE,APPROVAL
GRIN2B,ESKETAMINE HYDROCHLORIDE,APPROVAL
GRIN2B,ORPHENADRINE HYDROCHLORIDE,APPROVAL
GRIN2B,MEMANTINE HYDROCHLORIDE,APPROVAL
GRIN2B,MEMANTINE,APPROVAL
GRIN2B,FELBAMATE,APPROVAL
GRIN2B,KETAMINE,APPROVAL
GRIN2B,AMANTADINE HYDROCHLORIDE,APPROVAL
GRIN2B,ORPHENADRINE,APPROVAL
GRIN2B,ORPHENADRINE CITRATE,APPROVAL
NDUFAF2,METFORMIN,APPROVAL
NDUFAF2,METFORMIN HYDROCHLORIDE,APPROVAL
NISCH,RILMENIDINE,APPROVAL
NISCH,MOXONIDINE,APPROVAL
RPL22,ATALUREN,APPROVAL
GRIN3A,ACAMPROSATE CALCIUM,APPROVAL
GRIN3A,ACAMPROSATE,APPROVAL
GRIN3A,ESKETAMINE HYDROCHLORIDE,APPROVAL
GRIN3A,AMANTADINE,APPROVAL
GRIN3A,MEMANTINE HYDROCHLORIDE,APPROVAL
GRIN3A,FELBAMATE,APPROVAL
GRIN3A,ORPHENADRINE,APPROVAL
GRIN3A,KETAMINE,APPROVAL
GRIN3A,ORPHENADRINE CITRATE,APPROVAL
GRIN3A,ESKETAMINE,APPROVAL
GRIN3A,ORPHENADRINE HYDROCHLORIDE,APPROVAL
GRIN3A,AMANTADINE HYDROCHLORIDE,APPROVAL
GRIN3A,MEMANTINE,APPROVAL
TOP2B,DEXRAZOXANE HYDROCHLORIDE,APPROVAL
TOP2B,ETOPOSIDE,APPROVAL
TOP2B,TENIPOSIDE,APPROVAL
TOP2B,AMSACRINE,APPROVAL
TOP2B,PAZUFLOXACIN,APPROVAL
TOP2B,VOSAROXIN,APPROVAL
TOP2B,DEXRAZOXANE,APPROVAL
GABRB1,REMIMAZOLAM,APPROVAL
GABRB1,SEVOFLURANE,APPROVAL
GABRB1,CLORAZEPIC ACID,APPROVAL
GABRB1,ENFLURANE,APPROVAL
GABRB1,FLURAZEPAM,APPROVAL
GABRB1,THIOPENTAL,APPROVAL
GABRB1,TEMAZEPAM,APPROVAL
GABRB1,FLURAZEPAM HYDROCHLORIDE,APPROVAL
GABRB1,PENTOBARBITAL,APPROVAL
GABRB1,SECOBARBITAL,APPROVAL
GABRB1,DESFLURANE,APPROVAL
GABRB1,ETOMIDATE,APPROVAL
GABRB1,ESZOPICLONE,APPROVAL
GABRB1,ETHCHLORVYNOL,APPROVAL
GABRB1,CLOBAZAM,APPROVAL
GABRB1,TALBUTAL,APPROVAL
GABRB1,ZOLPIDEM,APPROVAL
GABRB1,ESTAZOLAM,APPROVAL
GABRB1,TRICLOFOS SODIUM,APPROVAL
GABRB1,HALOTHANE,APPROVAL
GABRB1,PROPOFOL,APPROVAL
GABRB1,MIDAZOLAM,APPROVAL
GABRB1,CHLORDIAZEPOXIDE,APPROVAL
GABRB1,THIAMYLAL,APPROVAL
GABRB1,FLUNITRAZEPAM,APPROVAL
GABRB1,BUTABARBITAL,APPROVAL
GABRB1,PRIMIDONE,APPROVAL
GABRB1,METHARBITAL,APPROVAL
GABRB1,ACAMPROSATE CALCIUM,APPROVAL
GABRB1,ISOFLURANE,APPROVAL
GABRB1,REMIMAZOLAM BESYLATE,APPROVAL
GABRB1,CLORAZEPATE DIPOTASSIUM,APPROVAL
GABRB1,LORAZEPAM,APPROVAL
GABRB1,CENOBAMATE,APPROVAL
GABRB1,ZALEPLON,APPROVAL
GABRB1,DIAZEPAM,APPROVAL
GABRB1,ZOPICLONE,APPROVAL
GABRB1,HALAZEPAM,APPROVAL
GABRB1,ZOLPIDEM TARTRATE,APPROVAL
GABRB1,METHYPRYLON,APPROVAL
GABRB1,ACAMPROSATE,APPROVAL
GABRB1,OXAZEPAM,APPROVAL
GABRB1,METHOXYFLURANE,APPROVAL
GABRB1,ZURANOLONE,APPROVAL
GABRB1,MEPROBAMATE,APPROVAL
GABRB1,GANAXOLONE,APPROVAL
GABRB1,BUTALBITAL,APPROVAL
GABRB1,GLUTETHIMIDE,APPROVAL
GABRB1,TOPIRAMATE,APPROVAL
GABRB1,PRAZEPAM,APPROVAL
GABRB1,METHOHEXITAL,APPROVAL
GABRB1,MIDAZOLAM HYDROCHLORIDE,APPROVAL
GABRB1,CLONAZEPAM,APPROVAL
GABRB1,TRIAZOLAM,APPROVAL
GABRB1,CHLORDIAZEPOXIDE HYDROCHLORIDE,APPROVAL
GABRB1,ETIFOXINE,APPROVAL
GABRB1,QUAZEPAM,APPROVAL
GABRB1,ALPRAZOLAM,APPROVAL
GABRB1,BREXANOLONE,APPROVAL
GABRB1,FLUMAZENIL,APPROVAL
GABRB1,CLOTIAZEPAM,APPROVAL
IGHE,OMALIZUMAB,APPROVAL
SLC6A4,VILAZODONE,APPROVAL
SLC6A4,DESVENLAFAXINE FUMARATE,APPROVAL
SLC6A4,METHAMPHETAMINE,APPROVAL
SLC6A4,NEFAZODONE,APPROVAL
SLC6A4,DESVENLAFAXINE SUCCINATE,APPROVAL
SLC6A4,FLUVOXAMINE MALEATE,APPROVAL
SLC6A4,ESCITALOPRAM,APPROVAL
SLC6A4,CITALOPRAM,APPROVAL
SLC6A4,NEFAZODONE HYDROCHLORIDE,APPROVAL
SLC6A4,VENLAFAXINE HYDROCHLORIDE,APPROVAL
SLC6A4,FLUOXETINE HYDROCHLORIDE,APPROVAL
SLC6A4,SIBUTRAMINE,APPROVAL
SLC6A4,NOMIFENSINE,APPROVAL
SLC6A4,AMITRIPTYLINE,APPROVAL
SLC6A4,NORTRIPTYLINE HYDROCHLORIDE,APPROVAL
SLC6A4,VENLAFAXINE,APPROVAL
SLC6A4,VORTIOXETINE,APPROVAL
SLC6A4,NORTRIPTYLINE,APPROVAL
SLC6A4,TRAZODONE HYDROCHLORIDE,APPROVAL
SLC6A4,PAROXETINE HYDROCHLORIDE,APPROVAL
SLC6A4,DOTHIEPIN,APPROVAL
SLC6A4,LUMATEPERONE,APPROVAL
SLC6A4,LEVOMILNACIPRAN HYDROCHLORIDE,APPROVAL
SLC6A4,ESCITALOPRAM OXALATE,APPROVAL
SLC6A4,FLUVOXAMINE,APPROVAL
SLC6A4,TRAZODONE,APPROVAL
SLC6A4,DASOTRALINE,APPROVAL
SLC6A4,DULOXETINE,APPROVAL
SLC6A4,SERTRALINE,APPROVAL
SLC6A4,CITALOPRAM HYDROBROMIDE,APPROVAL
SLC6A4,PAROXETINE MESYLATE,APPROVAL
SLC6A4,MAZINDOL,APPROVAL
SLC6A4,IMIPRAMINE,APPROVAL
SLC6A4,PROTRIPTYLINE HYDROCHLORIDE,APPROVAL
SLC6A4,CHLORPHENTERMINE HYDROCHLORIDE,APPROVAL
SLC6A4,PROTRIPTYLINE,APPROVAL
SLC6A4,CLOMIPRAMINE HYDROCHLORIDE,APPROVAL
SLC6A4,MILNACIPRAN HYDROCHLORIDE,APPROVAL
SLC6A4,PAROXETINE,APPROVAL
SLC6A4,MILNACIPRAN,APPROVAL
SLC6A4,VILAZODONE HYDROCHLORIDE,APPROVAL
SLC6A4,LEVOMILNACIPRAN,APPROVAL
SLC6A4,CLOMIPRAMINE,APPROVAL
SLC6A4,METHAMPHETAMINE HYDROCHLORIDE,APPROVAL
SLC6A4,DESVENLAFAXINE,APPROVAL
SLC6A4,AMITRIPTYLINE HYDROCHLORIDE,APPROVAL
SLC6A4,DULOXETINE HYDROCHLORIDE,APPROVAL
SLC6A4,FLUOXETINE,APPROVAL
SLC6A4,IMIPRAMINE HYDROCHLORIDE,APPROVAL
SLC6A4,IMIPRAMINE PAMOATE,APPROVAL
SLC6A4,AMOXAPINE,APPROVAL
SLC6A4,SERTRALINE HYDROCHLORIDE,APPROVAL
SLC6A4,VORTIOXETINE HYDROBROMIDE,APPROVAL
MC1R,AFAMELANOTIDE,APPROVAL
MC1R,AFAMELANOTIDE ACETATE,APPROVAL
MT-ND6,METFORMIN,APPROVAL
MT-ND6,METFORMIN HYDROCHLORIDE,APPROVAL
SCN7A,PROPAFENONE HYDROCHLORIDE,APPROVAL
SCN7A,DYCLONINE,APPROVAL
SCN7A,MEXILETINE,APPROVAL
SCN7A,ESLICARBAZEPINE ACETATE,APPROVAL
SCN7A,DISOPYRAMIDE,APPROVAL
SCN7A,QUINIDINE,APPROVAL
SCN7A,PHENYTOIN,APPROVAL
SCN7A,ENCAINIDE,APPROVAL
SCN7A,MEPIVACAINE,APPROVAL
SCN7A,LACOSAMIDE,APPROVAL
SCN7A,PRIMIDONE,APPROVAL
SCN7A,DISOPYRAMIDE PHOSPHATE,APPROVAL
SCN7A,RUFINAMIDE,APPROVAL
SCN7A,ORPHENADRINE HYDROCHLORIDE,APPROVAL
SCN7A,ZONISAMIDE,APPROVAL
SCN7A,ARTICAINE HYDROCHLORIDE,APPROVAL
SCN7A,FOSPHENYTOIN SODIUM,APPROVAL
SCN7A,LAMOTRIGINE,APPROVAL
SCN7A,TOPIRAMATE,APPROVAL
SCN7A,CHLOROPROCAINE,APPROVAL
SCN7A,TETRACAINE,APPROVAL
SCN7A,ETIDOCAINE,APPROVAL
SCN7A,BENOXINATE,APPROVAL
SCN7A,FOSPHENYTOIN,APPROVAL
SCN7A,ROPIVACAINE HYDROCHLORIDE,APPROVAL
SCN7A,DRONEDARONE,APPROVAL
SCN7A,ORPHENADRINE CITRATE,APPROVAL
SCN7A,PROCAINAMIDE HYDROCHLORIDE,APPROVAL
SCN7A,COCAINE,APPROVAL
SCN7A,PRILOCAINE,APPROVAL
SCN7A,INDECAINIDE,APPROVAL
SCN7A,RILUZOLE,APPROVAL
SCN7A,ESLICARBAZEPINE,APPROVAL
SCN7A,DRONEDARONE HYDROCHLORIDE,APPROVAL
SCN7A,COCAINE HYDROCHLORIDE,APPROVAL
SCN7A,QUINIDINE GLUCONATE,APPROVAL
SCN7A,MEXILETINE HYDROCHLORIDE,APPROVAL
SCN7A,ORPHENADRINE,APPROVAL
SCN7A,PROPOXYCAINE,APPROVAL
SCN7A,TOCAINIDE,APPROVAL
SCN7A,CENOBAMATE,APPROVAL
SCN7A,PROCAINE,APPROVAL
SCN7A,PHENACEMIDE,APPROVAL
SCN7A,PHENAZOPYRIDINE,APPROVAL
SCN7A,MORICIZINE,APPROVAL
SCN7A,ARTICAINE,APPROVAL
SCN7A,QUINIDINE SULFATE,APPROVAL
SCN7A,HEXYLCAINE,APPROVAL
SCN7A,LIDOCAINE,APPROVAL
SCN7A,PHENYTOIN SODIUM,APPROVAL
SCN7A,ETHOTOIN,APPROVAL
SCN7A,PROCAINAMIDE,APPROVAL
SCN7A,MEPHENYTOIN,APPROVAL
SCN7A,PROPARACAINE,APPROVAL
SCN7A,OXCARBAZEPINE,APPROVAL
SCN7A,PROPAFENONE,APPROVAL
SCN7A,LIDOCAINE HYDROCHLORIDE,APPROVAL
SCN7A,ROPIVACAINE,APPROVAL
SCN7A,CARBAMAZEPINE,APPROVAL
CCR5,MARAVIROC,APPROVAL
GSK3A,LITHIUM CARBONATE,APPROVAL
GSK3A,LITHIUM CITRATE,APPROVAL
SLC18A2,VALBENAZINE TOSYLATE,APPROVAL
SLC18A2,BENZPHETAMINE,APPROVAL
SLC18A2,DEXTROAMPHETAMINE SULFATE,APPROVAL
SLC18A2,DEXTROAMPHETAMINE SACCHARATE,APPROVAL
SLC18A2,DEUTETRABENAZINE,APPROVAL
SLC18A2,BENZPHETAMINE HYDROCHLORIDE,APPROVAL
SLC18A2,LISDEXAMFETAMINE,APPROVAL
SLC18A2,TETRABENAZINE,APPROVAL
SLC18A2,RESCINNAMINE,APPROVAL
SLC18A2,LISDEXAMFETAMINE DIMESYLATE,APPROVAL
SLC18A2,RESERPINE,APPROVAL
SLC18A2,DEXTROAMPHETAMINE,APPROVAL
SLC18A2,DESERPIDINE,APPROVAL
PTGER3,MISOPROSTOL,APPROVAL
PTGER3,DINOPROSTONE,APPROVAL
SCN1A,DRONEDARONE HYDROCHLORIDE,APPROVAL
SCN1A,ORPHENADRINE HYDROCHLORIDE,APPROVAL
SCN1A,QUINIDINE GLUCONATE,APPROVAL
SCN1A,LIDOCAINE,APPROVAL
SCN1A,FOSPHENYTOIN SODIUM,APPROVAL
SCN1A,PROCAINAMIDE HYDROCHLORIDE,APPROVAL
SCN1A,PHENYTOIN,APPROVAL
SCN1A,MORICIZINE,APPROVAL
SCN1A,TOPIRAMATE,APPROVAL
SCN1A,INDECAINIDE,APPROVAL
SCN1A,PROPAFENONE HYDROCHLORIDE,APPROVAL
SCN1A,LIDOCAINE HYDROCHLORIDE,APPROVAL
SCN1A,COCAINE,APPROVAL
SCN1A,BENOXINATE,APPROVAL
SCN1A,RILUZOLE,APPROVAL
SCN1A,LACOSAMIDE,APPROVAL
SCN1A,ORPHENADRINE CITRATE,APPROVAL
SCN1A,QUINIDINE SULFATE,APPROVAL
SCN1A,CARBAMAZEPINE,APPROVAL
SCN1A,PHENYTOIN SODIUM,APPROVAL
SCN1A,PHENACEMIDE,APPROVAL
SCN1A,MEXILETINE,APPROVAL
SCN1A,PRILOCAINE,APPROVAL
SCN1A,PROPAFENONE,APPROVAL
SCN1A,ROPIVACAINE,APPROVAL
SCN1A,ENCAINIDE,APPROVAL
SCN1A,PHENAZOPYRIDINE,APPROVAL
SCN1A,ARTICAINE,APPROVAL
SCN1A,PROCAINAMIDE,APPROVAL
SCN1A,CENOBAMATE,APPROVAL
SCN1A,MEPIVACAINE,APPROVAL
SCN1A,MEPHENYTOIN,APPROVAL
SCN1A,RUFINAMIDE,APPROVAL
SCN1A,LAMOTRIGINE,APPROVAL
SCN1A,ORPHENADRINE,APPROVAL
SCN1A,ESLICARBAZEPINE ACETATE,APPROVAL
SCN1A,DISOPYRAMIDE,APPROVAL
SCN1A,DISOPYRAMIDE PHOSPHATE,APPROVAL
SCN1A,TOCAINIDE,APPROVAL
SCN1A,HEXYLCAINE,APPROVAL
SCN1A,CHLOROPROCAINE,APPROVAL
SCN1A,COCAINE HYDROCHLORIDE,APPROVAL
SCN1A,PROCAINE,APPROVAL
SCN1A,DYCLONINE,APPROVAL
SCN1A,FOSPHENYTOIN,APPROVAL
SCN1A,QUINIDINE,APPROVAL
SCN1A,PROPARACAINE,APPROVAL
SCN1A,ROPIVACAINE HYDROCHLORIDE,APPROVAL
SCN1A,MEXILETINE HYDROCHLORIDE,APPROVAL
SCN1A,ETIDOCAINE,APPROVAL
SCN1A,ETHOTOIN,APPROVAL
SCN1A,DRONEDARONE,APPROVAL
SCN1A,ZONISAMIDE,APPROVAL
SCN1A,TETRACAINE,APPROVAL
SCN1A,PRIMIDONE,APPROVAL
SCN1A,PROPOXYCAINE,APPROVAL
SCN1A,ARTICAINE HYDROCHLORIDE,APPROVAL
SCN1A,ESLICARBAZEPINE,APPROVAL
SCN1A,OXCARBAZEPINE,APPROVAL
PPARD,ELAFIBRANOR,APPROVAL
PPARD,BEZAFIBRATE,APPROVAL
PPARD,SELADELPAR LYSINE,APPROVAL
TRPA1,MENTHOL,APPROVAL
NDUFA13,METFORMIN,APPROVAL
NDUFA13,METFORMIN HYDROCHLORIDE,APPROVAL
BRDT,PELABRESIB,APPROVAL
MYL2,OMECAMTIV MECARBIL,APPROVAL
MYL2,MAVACAMTEN,APPROVAL
AGTR1,ANGIOTENSIN II,APPROVAL
AGTR1,SARALASIN,APPROVAL
AGTR1,VALSARTAN,APPROVAL
AGTR1,FIMASARTAN,APPROVAL
AGTR1,AZILSARTAN KAMEDOXOMIL,APPROVAL
AGTR1,ANGIOTENSIN II ACETATE,APPROVAL
AGTR1,TELMISARTAN,APPROVAL
AGTR1,SARALASIN ACETATE,APPROVAL
AGTR1,TASOSARTAN,APPROVAL
AGTR1,LOSARTAN,APPROVAL
AGTR1,AZILSARTAN,APPROVAL
AGTR1,IRBESARTAN,APPROVAL
AGTR1,LOSARTAN POTASSIUM,APPROVAL
AGTR1,EPROSARTAN,APPROVAL
AGTR1,IRBESARTAN HYDROCHLORIDE,APPROVAL
AGTR1,CANDESARTAN CILEXETIL,APPROVAL
AGTR1,OLMESARTAN MEDOXOMIL,APPROVAL
AGTR1,CANDESARTAN,APPROVAL
AGTR1,SPARSENTAN,APPROVAL
AGTR1,EPROSARTAN MESYLATE,APPROVAL
AGTR1,AZILSARTAN MEDOXOMIL,APPROVAL
AGTR1,OLMESARTAN,APPROVAL
ABCC9,PINACIDIL,APPROVAL
ABCC9,MINOXIDIL,APPROVAL
COL2A1,OCRIPLASMIN,APPROVAL
COL2A1,COLLAGENASE CLOSTRIDIUM HISTOLYTICUM,APPROVAL
EPHA4,VANDETANIB,APPROVAL
KCNJ11,GLIPIZIDE,APPROVAL
KCNJ11,CHLORPROPAMIDE,APPROVAL
KCNJ11,REPAGLINIDE,APPROVAL
KCNJ11,MITIGLINIDE CALCIUM DIHYDRATE,APPROVAL
KCNJ11,GLIMEPIRIDE,APPROVAL
KCNJ11,ACETOHEXAMIDE,APPROVAL
KCNJ11,TOLAZAMIDE,APPROVAL
KCNJ11,MINOXIDIL,APPROVAL
KCNJ11,DIAZOXIDE,APPROVAL
KCNJ11,NATEGLINIDE,APPROVAL
KCNJ11,MITIGLINIDE,APPROVAL
KCNJ11,TOLBUTAMIDE,APPROVAL
KCNJ11,GLICLAZIDE,APPROVAL
KCNJ11,GLYBURIDE,APPROVAL
KCNJ11,PINACIDIL,APPROVAL
TXK,RITLECITINIB TOSYLATE,APPROVAL
TXK,RITLECITINIB,APPROVAL
EPHA7,VANDETANIB,APPROVAL
ITGAV,ABCIXIMAB,APPROVAL
GUCY1A2,PENTAERYTHRITOL TETRANITRATE,APPROVAL
GUCY1A2,SODIUM NITROPRUSSIDE,APPROVAL
GUCY1A2,ISOSORBIDE DINITRATE,APPROVAL
GUCY1A2,NITROPRUSSIDE,APPROVAL
GUCY1A2,NITROGLYCERIN,APPROVAL
GUCY1A2,NITRIC OXIDE,APPROVAL
GUCY1A2,ISOSORBIDE MONONITRATE,APPROVAL
GUCY1A2,VERICIGUAT,APPROVAL
GUCY1A2,RIOCIGUAT,APPROVAL
GUCY1A2,METHYLENE BLUE ANHYDROUS,APPROVAL
MT-ND1,METFORMIN,APPROVAL
MT-ND1,METFORMIN HYDROCHLORIDE,APPROVAL
DIO1,PROPYLTHIOURACIL,APPROVAL
NDUFB1,METFORMIN,APPROVAL
NDUFB1,METFORMIN HYDROCHLORIDE,APPROVAL
NDUFS3,METFORMIN,APPROVAL
NDUFS3,METFORMIN HYDROCHLORIDE,APPROVAL
MT-ND4,METFORMIN HYDROCHLORIDE,APPROVAL
MT-ND4,METFORMIN,APPROVAL
CALCRL,RIMEGEPANT,APPROVAL
CALCRL,ERENUMAB,APPROVAL
CALCRL,ATOGEPANT,APPROVAL
CALCRL,UBROGEPANT,APPROVAL
CALCRL,RIMEGEPANT SULFATE,APPROVAL
CALCRL,ZAVEGEPANT HYDROCHLORIDE,APPROVAL
CALCRL,ZAVEGEPANT,APPROVAL
GUCY2C,PLECANATIDE,APPROVAL
GUCY2C,LINACLOTIDE,APPROVAL
GCK,DORZAGLIATIN,APPROVAL
CACNA1A,GABAPENTIN,APPROVAL
CACNA1A,BEPRIDIL,APPROVAL
CACNA1A,SULOCTIDIL,APPROVAL
CACNA1A,PHLOROGLUCINOL,APPROVAL
CACNA1A,TERODILINE,APPROVAL
CACNA1A,GABAPENTIN ENACARBIL,APPROVAL
CACNA1A,PREGABALIN,APPROVAL
CACNA2D1,BEPRIDIL,APPROVAL
CACNA2D1,PHLOROGLUCINOL,APPROVAL
CACNA2D1,MIROGABALIN BESYLATE,APPROVAL
CACNA2D1,TERODILINE,APPROVAL
CACNA2D1,GABAPENTIN ENACARBIL,APPROVAL
CACNA2D1,GABAPENTIN,APPROVAL
CACNA2D1,PREGABALIN,APPROVAL
CACNA2D1,MIROGABALIN,APPROVAL
CACNA2D1,SULOCTIDIL,APPROVAL
PRKAG2,ACADESINE,APPROVAL
RYR1,DANTROLENE,APPROVAL
RYR1,DANTROLENE SODIUM,APPROVAL
MT-ND5,METFORMIN,APPROVAL
MT-ND5,METFORMIN HYDROCHLORIDE,APPROVAL
TSPO,ALPIDEM,APPROVAL
NDUFB3,METFORMIN HYDROCHLORIDE,APPROVAL
NDUFB3,METFORMIN,APPROVAL
KCNJ5,VERNAKALANT,APPROVAL
KCNJ5,VERNAKALANT HYDROCHLORIDE,APPROVAL
IL5RA,BENRALIZUMAB,APPROVAL
DRD1,FENOLDOPAM MESYLATE,APPROVAL
DRD1,AMINEPTINE,APPROVAL
DRD1,PIMOZIDE,APPROVAL
DRD1,MINAPRINE,APPROVAL
DRD1,PERGOLIDE,APPROVAL
DRD1,METHYLERGONOVINE MALEATE,APPROVAL
DRD1,ERGOLOID MESYLATES,APPROVAL
DRD1,METHYLERGONOVINE,APPROVAL
DRD1,AMOXAPINE,APPROVAL
DRD1,FENOLDOPAM,APPROVAL
SCNN1G,AMILORIDE HYDROCHLORIDE,APPROVAL
SCNN1G,TRIAMTERENE,APPROVAL
SCNN1G,AMILORIDE,APPROVAL
SLC12A3,TRICHLORMETHIAZIDE,APPROVAL
SLC12A3,CHLOROTHIAZIDE,APPROVAL
SLC12A3,BENZTHIAZIDE,APPROVAL
SLC12A3,CHLORTHALIDONE,APPROVAL
SLC12A3,INDAPAMIDE,APPROVAL
SLC12A3,CYCLOTHIAZIDE,APPROVAL
SLC12A3,HYDROCHLOROTHIAZIDE,APPROVAL
SLC12A3,HYDROFLUMETHIAZIDE,APPROVAL
SLC12A3,QUINETHAZONE,APPROVAL
SLC12A3,METHYCLOTHIAZIDE,APPROVAL
SLC12A3,METOLAZONE,APPROVAL
SLC12A3,POLYTHIAZIDE,APPROVAL
SLC12A3,BENDROFLUMETHIAZIDE,APPROVAL
MMP7,DOXYCYCLINE,APPROVAL
MMP7,DOXYCYCLINE HYCLATE,APPROVAL
TH,METYROSINE,APPROVAL
ADORA3,THEOPHYLLINE,APPROVAL
ADORA3,OXTRIPHYLLINE,APPROVAL
ADORA3,CAFFEINE,APPROVAL
