Target (Gene),Drug Name,maxClinicalStage
PSMB4,BORTEZOMIB,APPROVAL
PRKCD,MIDOSTAURIN,APPROVAL
IDH2,VORASIDENIB,APPROVAL
IDH2,ENASIDENIB MESYLATE,APPROVAL
ITK,PAZOPANIB,APPROVAL
ITK,PAZOPANIB HYDROCHLORIDE,APPROVAL
ITK,RITLECITINIB,APPROVAL
ITK,RITLECITINIB TOSYLATE,APPROVAL
IDH1,OLUTASIDENIB,APPROVAL
IDH1,IVOSIDENIB,APPROVAL
IDH1,VORASIDENIB,APPROVAL
EZH2,TAZEMETOSTAT,APPROVAL
EZH2,TAZEMETOSTAT HYDROBROMIDE,APPROVAL
HBB,VOXELOTOR,APPROVAL
HBB,BETIBEGLOGENE AUTOTEMCEL,APPROVAL
HBB,EFAPROXIRAL,APPROVAL
HBB,LOVOTIBEGLOGENE AUTOTEMCEL,APPROVAL
CRBN,LENALIDOMIDE,APPROVAL
CRBN,THALIDOMIDE,APPROVAL
CRBN,POMALIDOMIDE,APPROVAL
IL12B,GUSELKUMAB,APPROVAL
IL12B,MIRIKIZUMAB,APPROVAL
IL12B,USTEKINUMAB,APPROVAL
IL12B,BRIAKINUMAB,APPROVAL
IL12B,TILDRAKIZUMAB,APPROVAL
IL12B,RISANKIZUMAB,APPROVAL
BLK,DASATINIB ANHYDROUS,APPROVAL
IL2RB,ALDESLEUKIN,APPROVAL
IL2RB,NOGAPENDEKIN ALFA INBAKICEPT,APPROVAL
IL2RB,BASILIXIMAB,APPROVAL
IL2RB,DENILEUKIN DIFTITOX,APPROVAL
IL2RB,DACLIZUMAB,APPROVAL
EPAS1,BELZUTIFAN,APPROVAL
PDGFRB,NINTEDANIB ESYLATE,APPROVAL
PDGFRB,TIVOZANIB,APPROVAL
PDGFRB,CEDIRANIB,APPROVAL
PDGFRB,BECAPLERMIN,APPROVAL
PDGFRB,SUNITINIB,APPROVAL
PDGFRB,MIDOSTAURIN,APPROVAL
PDGFRB,IMATINIB,APPROVAL
PDGFRB,PAZOPANIB HYDROCHLORIDE,APPROVAL
PDGFRB,MASITINIB,APPROVAL
PDGFRB,REGORAFENIB,APPROVAL
PDGFRB,SUNITINIB MALATE,APPROVAL
PDGFRB,PAZOPANIB,APPROVAL
PDGFRB,TIVOZANIB HYDROCHLORIDE,APPROVAL
PDGFRB,SORAFENIB TOSYLATE,APPROVAL
PDGFRB,SORAFENIB,APPROVAL
PDGFRB,IMATINIB MESYLATE,APPROVAL
PDGFRB,QUIZARTINIB,APPROVAL
PDGFRB,DASATINIB ANHYDROUS,APPROVAL
PDGFRB,NINTEDANIB,APPROVAL
PIK3CG,DUVELISIB MONOHYDRATE,APPROVAL
PIK3CG,DUVELISIB,APPROVAL
IL17F,BIMEKIZUMAB,APPROVAL
MAP2K1,MIRDAMETINIB,APPROVAL
MAP2K1,TRAMETINIB DIMETHYL SULFOXIDE,APPROVAL
MAP2K1,BINIMETINIB,APPROVAL
MAP2K1,COBIMETINIB,APPROVAL
MAP2K1,SELUMETINIB SULFATE,APPROVAL
MAP2K1,SELUMETINIB,APPROVAL
